col1,col2,type,accuracy,accuracy_max
tgt::Sequence Length,tgt::account,tgt,0.94978,0.9631
tgt::Sequence Length,tgt::amount,tgt,0.84044,0.88242
tgt::Sequence Length,tgt::balance,tgt,0.18711,0.88244
tgt::Sequence Length,tgt::bank,tgt,0.952,0.9631
tgt::Sequence Length,tgt::date,tgt,0.87689,0.90269
tgt::Sequence Length,tgt::k_symbol,tgt,0.95378,0.96383
tgt::Sequence Length,tgt::operation,tgt,0.94356,0.9631
tgt::Sequence Length,tgt::type,tgt,0.94978,0.96432
tgt::account,tgt::amount,tgt,0.86178,0.96315
tgt::account,tgt::balance,tgt,0.18667,0.96316
tgt::account,tgt::bank,tgt,0.98,0.99819
tgt::account,tgt::date,tgt,0.93689,0.96776
tgt::account,tgt::k_symbol,tgt,0.97422,0.99819
tgt::account,tgt::operation,tgt,0.96667,0.99819
tgt::account,tgt::type,tgt,0.97111,0.99819
tgt::amount,tgt::balance,tgt,0.12578,0.96205
tgt::amount,tgt::bank,tgt,0.86444,0.96384
tgt::amount,tgt::date,tgt,0.82222,0.89467
tgt::amount,tgt::k_symbol,tgt,0.86978,0.96403
tgt::amount,tgt::operation,tgt,0.85689,0.96384
tgt::amount,tgt::type,tgt,0.86267,0.96437
tgt::balance,tgt::bank,tgt,0.18711,0.96385
tgt::balance,tgt::date,tgt,0.18711,0.89468
tgt::balance,tgt::k_symbol,tgt,0.18711,0.96404
tgt::balance,tgt::operation,tgt,0.18267,0.96385
tgt::balance,tgt::type,tgt,0.18222,0.96438
tgt::bank,tgt::date,tgt,0.93867,0.96826
tgt::bank,tgt::k_symbol,tgt,0.97644,0.99865
tgt::bank,tgt::operation,tgt,0.96667,0.99888
tgt::bank,tgt::type,tgt,0.97067,0.99888
tgt::date,tgt::k_symbol,tgt,0.94044,0.96865
tgt::date,tgt::operation,tgt,0.92978,0.96826
tgt::date,tgt::type,tgt,0.93644,0.969
tgt::k_symbol,tgt::operation,tgt,0.96489,0.99865
tgt::k_symbol,tgt::type,tgt,0.97556,0.99929
tgt::operation,tgt::type,tgt,0.96622,0.99888
