epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.01,0,1,16,6.3295,0.0,0.00071,
1.0,1,126,2016,5.8275,0.4,0.00071,5.4101
2.0,1,252,4025,5.1186,0.7,0.00071,4.8739
3.0,1,378,6034,4.752,1.0,0.00071,4.6341
4.0,1,504,8043,4.6294,1.4,0.00071,4.5721
5.0,1,630,10052,4.5503,1.7,0.00071,4.4942
6.0,1,756,12061,4.5389,2.1,0.00071,4.4699
7.0,0,882,14070,4.525,2.4,0.00071,4.4806
8.0,1,1008,16079,4.5054,2.8,0.00071,4.4558
9.0,1,1134,18088,4.4852,3.1,0.00071,4.444
10.0,1,1260,20097,4.4956,3.4,0.00071,4.4421
11.0,0,1386,22106,4.4945,3.8,0.00071,4.4431
12.0,0,1512,24115,4.4733,4.1,0.00071,4.467
13.0,1,1638,26124,4.4741,4.4,0.00071,4.4413
14.0,0,1764,28133,4.4769,4.8,0.00071,4.4582
15.0,1,1890,30142,4.4587,5.1,0.00071,4.4306
16.0,0,2016,32151,4.4953,5.5,0.00071,4.4429
17.0,0,2142,34160,4.4665,5.8,0.00071,4.4392
18.0,0,2268,36169,4.4517,6.1,0.00071,4.4375
19.0,1,2394,38178,4.501,6.5,0.000355,4.4246
20.0,0,2520,40187,4.4555,6.8,0.000355,4.4495
21.0,0,2646,42196,4.4584,7.1,0.000355,4.46
22.0,0,2772,44205,4.4559,7.5,0.000355,4.4423
23.0,0,2898,46214,4.4617,7.8,0.000178,4.4503
24.0,0,3024,48223,4.4524,8.1,0.000178,4.4559
