col1,col2,type,accuracy,accuracy_max
tgt::Sequence Length,tgt::account,tgt,0.90356,0.90988
tgt::Sequence Length,tgt::amount,tgt,0.86844,0.88787
tgt::Sequence Length,tgt::balance,tgt,0.85689,0.88259
tgt::Sequence Length,tgt::bank,tgt,0.908,0.91178
tgt::Sequence Length,tgt::date,tgt,0.9,0.89391
tgt::Sequence Length,tgt::k_symbol,tgt,0.90889,0.91094
tgt::Sequence Length,tgt::operation,tgt,0.92311,0.91885
tgt::Sequence Length,tgt::type,tgt,0.95689,0.9444
tgt::account,tgt::amount,tgt,0.89556,0.91937
tgt::account,tgt::balance,tgt,0.86356,0.90947
tgt::account,tgt::bank,tgt,0.93333,0.93714
tgt::account,tgt::date,tgt,0.92044,0.92037
tgt::account,tgt::k_symbol,tgt,0.92178,0.94179
tgt::account,tgt::operation,tgt,0.95333,0.958
tgt::account,tgt::type,tgt,0.96578,0.96119
tgt::amount,tgt::balance,tgt,0.85333,0.89233
tgt::amount,tgt::bank,tgt,0.89422,0.9225
tgt::amount,tgt::date,tgt,0.88889,0.90057
tgt::amount,tgt::k_symbol,tgt,0.91289,0.93945
tgt::amount,tgt::operation,tgt,0.89867,0.93683
tgt::amount,tgt::type,tgt,0.93511,0.94982
tgt::balance,tgt::bank,tgt,0.84844,0.91309
tgt::balance,tgt::date,tgt,0.85289,0.89338
tgt::balance,tgt::k_symbol,tgt,0.86578,0.91124
tgt::balance,tgt::operation,tgt,0.86756,0.9196
tgt::balance,tgt::type,tgt,0.90044,0.94441
tgt::bank,tgt::date,tgt,0.91733,0.92241
tgt::bank,tgt::k_symbol,tgt,0.91556,0.9427
tgt::bank,tgt::operation,tgt,0.94578,0.95955
tgt::bank,tgt::type,tgt,0.95733,0.96217
tgt::date,tgt::k_symbol,tgt,0.908,0.92126
tgt::date,tgt::operation,tgt,0.92044,0.92783
tgt::date,tgt::type,tgt,0.95156,0.95037
tgt::k_symbol,tgt::operation,tgt,0.94178,0.96582
tgt::k_symbol,tgt::type,tgt,0.96089,0.969
tgt::operation,tgt::type,tgt,0.97778,0.97554
tgt::Sequence Length,ctx::district_id,ctx,0.90178,0.883
tgt::Sequence Length,ctx::date,ctx,0.00133,0.90384
tgt::Sequence Length,ctx::frequency,ctx,0.96089,0.95126
tgt::account,ctx::district_id,ctx,0.92,0.90971
tgt::account,ctx::date,ctx,0.00133,0.92216
tgt::account,ctx::frequency,ctx,0.96933,0.96491
tgt::amount,ctx::district_id,ctx,0.90222,0.88845
tgt::amount,ctx::date,ctx,0.00133,0.90173
tgt::amount,ctx::frequency,ctx,0.936,0.95413
tgt::balance,ctx::district_id,ctx,0.86356,0.88289
tgt::balance,ctx::date,ctx,0.00133,0.89625
tgt::balance,ctx::frequency,ctx,0.89556,0.95176
tgt::bank,ctx::district_id,ctx,0.92,0.91296
