arm,seed,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate
A,generated_20261021,0,147,128,147,128,0.9863945578231292,0.0,0.9375,12,0.08163265306122448
A,generated_20261021,1,4305,3677,147,128,0.8951139598034932,0.0,0.8942072341582812,143,0.03321718931475029
A,generated_20261021,2,9180,7364,135,114,0.8915260485267194,0.0,0.8914991852254209,81,0.008823529411764706
A,generated_20261021,3,53970,42171,135,106,0.8867468165326883,0.0,0.8867468165326884,473,0.008764128219381138
A,generated_20261021,4,110395,68900,131,101,0.8872568940493469,0.0,0.8872568940493469,437,0.003958512613795914
A,generated_20261022,0,147,128,147,128,0.9795918367346939,0.0,0.9140625,12,0.08163265306122448
A,generated_20261022,1,4305,3616,147,128,0.8858852255557954,0.0,0.8844026548672567,143,0.03321718931475029
A,generated_20261022,2,9180,7041,135,110,0.8782843346115609,0.0,0.878142309331061,81,0.008823529411764706
A,generated_20261022,3,53970,40165,135,101,0.8884849993775676,0.0,0.8884849993775675,473,0.008764128219381138
A,generated_20261022,4,110395,85600,131,96,0.8880373831775701,0.0,0.8880373831775701,437,0.003958512613795914
G,generated_20261021,0,147,128,147,128,0.958173894557823,0.0,0.8828125,12,0.08163265306122448
G,generated_20261021,1,4305,3741,147,128,0.8499070940990083,0.0,0.8479016305800589,143,0.03321718931475029
G,generated_20261021,2,9180,7749,135,117,0.8548719758906274,0.0,0.8546909278616596,81,0.008823529411764706
G,generated_20261021,3,53970,44865,135,113,0.846517329767079,0.0,0.846517329767079,473,0.008764128219381138
G,generated_20261021,4,110395,89272,131,106,0.8506138542880186,0.0,0.8506138542880186,437,0.003958512613795914
G,generated_20261022,0,147,128,147,128,0.9649766156462584,0.0,0.8671875,12,0.08163265306122448
G,generated_20261022,1,4305,3626,147,128,0.8573446517697388,0.0,0.8546607832322118,143,0.03321718931475029
G,generated_20261022,2,9180,7390,135,111,0.8407503220804184,0.0,0.8400541271989175,81,0.008823529411764706
G,generated_20261022,3,53970,43103,135,108,0.8503120432452497,0.0,0.8503120432452498,473,0.008764128219381138
G,generated_20261022,4,110395,95890,131,105,0.8519449369068726,0.0,0.8519449369068725,437,0.003958512613795914
R,generated_20261021,0,147,128,147,128,0.9863945578231292,0.0,0.9453125,12,0.08163265306122448
R,generated_20261021,1,4305,3702,147,128,0.891626524507894,0.0,0.8905996758508914,143,0.03321718931475029
R,generated_20261021,2,9180,7432,135,115,0.8911720147932393,0.0,0.8910118406889128,81,0.008823529411764706
R,generated_20261021,3,53970,42571,135,107,0.8856028751967302,0.0,0.8856028751967302,473,0.008764128219381138
R,generated_20261021,4,110395,68902,131,102,0.8866506052073961,0.0,0.886650605207396,437,0.003958512613795914
R,generated_20261022,0,147,128,147,128,0.9795918367346939,0.0,0.90625,12,0.08163265306122448
R,generated_20261022,1,4305,3616,147,128,0.8851993463044618,0.0,0.8838495575221239,143,0.03321718931475029
R,generated_20261022,2,9180,7041,135,110,0.8755858542820621,0.0,0.8754438290015623,81,0.008823529411764706
R,generated_20261022,3,53970,40165,135,101,0.8874144155359144,0.0,0.8874144155359144,473,0.008764128219381138
R,generated_20261022,4,110395,85600,131,96,0.8871962616822431,0.0,0.887196261682243,437,0.003958512613795914
