gap_bin,seen_merchant,amount_vs_history,events,customers,frauds,invalid_labels,fraud_rate,event_share,source
-1,0,-1,550,550,43,0,0.07818181818181819,0.0007684472754352556,fit
0,0,0,2,2,0,0,0.0,2.7943537288554746e-06,fit
0,0,1,1,1,0,0,0.0,1.3971768644277373e-06,fit
0,1,0,4,4,0,0,0.0,5.588707457710949e-06,fit
0,1,1,1,1,0,0,0.0,1.3971768644277373e-06,fit
1,0,-1,1,1,0,0,0.0,1.3971768644277373e-06,fit
1,0,0,31,28,2,0,0.06451612903225806,4.3312482797259855e-05,fit
1,0,1,15,15,0,0,0.0,2.095765296641606e-05,fit
1,0,2,7,7,2,0,0.2857142857142857,9.78023805099416e-06,fit
1,1,0,79,67,1,0,0.012658227848101266,0.00011037697228979124,fit
1,1,1,43,40,0,0,0.0,6.00786051703927e-05,fit
1,1,2,19,19,3,0,0.15789473684210525,2.654636042412701e-05,fit
2,0,-1,4,4,1,0,0.25,5.588707457710949e-06,fit
2,0,0,349,226,7,0,0.02005730659025788,0.0004876147256852803,fit
2,0,1,182,152,4,0,0.02197802197802198,0.0002542861893258482,fit
2,0,2,107,87,25,0,0.2336448598130841,0.0001494979244937679,fit
2,1,0,748,263,3,0,0.004010695187165776,0.0010450882945919474,fit
2,1,1,438,213,1,0,0.00228310502283105,0.0006119634666193489,fit
2,1,2,217,141,25,0,0.1152073732718894,0.000303187379580819,fit
3,0,-1,25,24,9,0,0.36,3.492942161069343e-05,fit
3,0,0,1434,418,12,0,0.008368200836820083,0.002003551623589375,fit
3,0,1,771,345,13,0,0.016861219195849545,0.0010772233624737856,fit
3,0,2,452,273,69,0,0.15265486725663716,0.0006315239427213372,fit
3,1,0,3261,390,19,0,0.005826433609322294,0.004556193754898852,fit
3,1,1,2000,381,8,0,0.004,0.0027943537288554745,fit
3,1,2,996,311,88,0,0.08835341365461848,0.0013915881569700264,fit
4,0,-1,101,87,25,0,0.24752475247524752,0.00014111486330720146,fit
4,0,0,8447,515,98,0,0.011601752101337752,0.011801952973821098,fit
4,0,1,4649,517,73,0,0.015702301570230157,0.006495475242724551,fit
4,0,2,2461,469,293,0,0.11905729378301504,0.0034384522633566614,fit
4,1,-1,1,1,1,0,1.0,1.3971768644277373e-06,fit
4,1,0,18370,486,69,0,0.0037561241154055527,0.025666138999537534,fit
4,1,1,11421,468,26,0,0.0022765081866736713,0.015957156968629187,fit
4,1,2,5704,452,351,0,0.06153576437587658,0.007969496834695814,fit
5,0,-1,303,227,60,0,0.19801980198019803,0.0004233445899216044,fit
5,0,0,23980,527,133,0,0.0055462885738115095,0.03350430120897714,fit
5,0,1,13577,524,53,0,0.0039036606024895042,0.01896947028833539,fit
5,0,2,6531,512,333,0,0.05098759761139182,0.009124962101577552,fit
5,1,-1,2,2,1,0,0.5,2.7943537288554746e-06,fit
5,1,0,48869,507,131,0,0.0026806359860033968,0.0682786361877191,fit
5,1,1,32337,503,25,0,0.0007731082042242633,0.04518050826499974,fit
5,1,2,15161,480,399,0,0.026317525229206516,0.021182598441588926,fit
6,0,-1,1238,518,83,0,0.06704361873990307,0.0017297049581615387,fit
6,0,0,87930,533,208,0,0.0023655180257022633,0.12285376168913094,fit
6,0,1,55574,531,61,0,0.0010976355849857847,0.07764670706370708,fit
6,0,2,25081,515,576,0,0.02296559148359316,0.03504259293671208,fit
6,1,-1,5,5,0,0,0.0,6.985884322138686e-06,fit
6,1,0,133675,507,187,0,0.0013989152795960353,0.1867676173523778,fit
6,1,1,102709,507,21,0,0.00020446114751384982,0.14350263856850848,fit
6,1,2,45132,505,580,0,0.012851192058849596,0.06305738624535263,fit
7,0,-1,520,301,2,0,0.0038461538461538464,0.0007265319695024234,fit
7,0,0,16788,507,16,0,0.0009530617107457708,0.023455805200012853,fit
7,0,1,10943,504,2,0,0.00018276523805172256,0.015289306427432729,fit
7,0,2,4569,491,51,0,0.011162179908076166,0.0063837010935703315,fit
7,1,0,13296,507,10,0,0.0007521058965102287,0.018576863589431194,fit
7,1,1,10408,507,3,0,0.00028823981552651804,0.01454181680496389,fit
7,1,2,4210,486,39,0,0.009263657957244655,0.005882114599240774,fit
