run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
seed_20260927/generated_20260929,0,147,147,147,147,0.9727891156462584,0.0,0.891156462585034,12,0.08163265306122448,19,0.1292517006802721
seed_20260927/generated_20260929,1,4305,4358,147,147,0.8801835597848535,0.0,0.8786140431390546,143,0.03321718931475029,152,0.034878384580082605
seed_20260927/generated_20260929,2,9180,8918,135,134,0.8687117337777603,0.0,0.8685803991926441,81,0.008823529411764706,57,0.006391567616057412
seed_20260927/generated_20260929,3,53970,50952,135,129,0.8674046161092792,0.0,0.8674046161092793,473,0.008764128219381138,177,0.0034738577484691472
seed_20260927/generated_20260929,4,110395,101522,131,123,0.8655759342802545,0.0,0.8655759342802545,437,0.003958512613795914,170,0.0016745138984653573
seed_20260927/generated_20260930,0,147,147,147,147,0.9387755102040815,0.0,0.8775510204081632,12,0.08163265306122448,20,0.1360544217687075
seed_20260927/generated_20260930,1,4305,4328,147,147,0.8585828497577291,0.0,0.8562846580406654,143,0.03321718931475029,232,0.053604436229205174
seed_20260927/generated_20260930,2,9180,9072,135,135,0.8691604419545595,0.0,0.8690476190476191,81,0.008823529411764706,73,0.00804673721340388
seed_20260927/generated_20260930,3,53970,51911,135,130,0.8686598216177689,0.0,0.8686598216177689,473,0.008764128219381138,180,0.0034674731752422417
seed_20260927/generated_20260930,4,110395,116906,131,125,0.8667476434058132,0.0,0.8667476434058132,437,0.003958512613795914,160,0.0013686209433219853
seed_20260928/generated_20260929,0,147,147,147,147,0.965986394557823,0.0,0.8299319727891157,12,0.08163265306122448,23,0.1564625850340136
seed_20260928/generated_20260929,1,4305,4302,147,147,0.8166153980726896,0.0,0.8086936308693631,143,0.03321718931475029,629,0.14621106462110647
seed_20260928/generated_20260929,2,9180,8710,135,131,0.8283401994552126,0.0,0.8278989667049369,81,0.008823529411764706,333,0.03823191733639495
seed_20260928/generated_20260929,3,53970,50371,135,126,0.8328310907312692,0.0,0.8325623870878085,473,0.008764128219381138,360,0.007146969486410831
seed_20260928/generated_20260929,4,110395,94744,131,122,0.8323376678206535,0.0,0.8323376678206535,437,0.003958512613795914,865,0.00912986574347716
seed_20260928/generated_20260930,0,147,147,147,147,0.9319727891156461,0.0,0.8095238095238095,12,0.08163265306122448,30,0.20408163265306123
seed_20260928/generated_20260930,1,4305,4258,147,147,0.821396575906308,0.0,0.810239549084077,143,0.03321718931475029,697,0.16369187411930483
seed_20260928/generated_20260930,2,9180,8935,135,132,0.832902906856954,0.0,0.8321208729714605,81,0.008823529411764706,187,0.020928931169557918
seed_20260928/generated_20260930,3,53970,52249,135,131,0.8326666539072518,0.0,0.8326666539072518,473,0.008764128219381138,150,0.002870868341977837
seed_20260928/generated_20260930,4,110395,108710,131,127,0.8296844816484223,0.0,0.8296844816484225,437,0.003958512613795914,574,0.005280103026400515
