run,intervention,field,group,events,nll,accuracy
seed_20260928,teacher,gap,all,68939,4.455132179249602,0.03709076139775744
seed_20260928,teacher,gap,first,0,,
seed_20260928,teacher,gap,later,68939,4.455132179249602,0.03709076139775744
seed_20260928,teacher,gap,class_0,68225,4.455752022241052,0.03708318065225357
seed_20260928,teacher,gap,class_1,714,4.395904184723435,0.037815126050420166
seed_20260928,teacher,receiver_or_mark,all,69086,6.532513529756793,0.002721245983267232
seed_20260928,teacher,receiver_or_mark,first,147,6.390394467074855,0.013605442176870748
seed_20260928,teacher,receiver_or_mark,later,68939,6.5328165730590495,0.0026980373953785232
seed_20260928,teacher,receiver_or_mark,class_0,68360,6.534871851198153,0.00264774722059684
seed_20260928,teacher,receiver_or_mark,class_1,726,6.310454502578609,0.009641873278236915
seed_20260928,teacher,amount_or_numeric_value,all,69086,4.559458055193245,0.01984483108010306
seed_20260928,teacher,amount_or_numeric_value,first,147,4.591545768335563,0.034013605442176874
seed_20260928,teacher,amount_or_numeric_value,later,68939,4.559389633924704,0.019814618720898184
seed_20260928,teacher,amount_or_numeric_value,class_0,68360,4.5816182364543465,0.015301345816266822
seed_20260928,teacher,amount_or_numeric_value,class_1,726,2.4728602714343997,0.4476584022038568
seed_20260928,teacher,category,all,69086,1.8997390028338408,0.391048837680572
seed_20260928,teacher,category,first,147,1.807375775308025,0.46258503401360546
seed_20260928,teacher,category,later,68939,1.8999359507797973,0.3908962996272067
seed_20260928,teacher,category,class_0,68360,1.9055648364846018,0.3890579286132241
seed_20260928,teacher,category,class_1,726,1.3511797902084497,0.5785123966942148
seed_20260928,teacher,event_is_fraud,all,69086,0.010043284264939757,0.997828793098457
seed_20260928,teacher,event_is_fraud,first,147,0.17722731669351052,0.9659863945578231
seed_20260928,teacher,event_is_fraud,later,68939,0.009686794429476522,0.9978966912777963
seed_20260928,teacher,event_is_fraud,class_0,68360,0.003206076414565132,0.9991222937390287
seed_20260928,teacher,event_is_fraud,class_1,726,0.6538332686335476,0.8760330578512396
seed_20260928,shuffle_current_merchant,gap,all,68939,4.455132179249602,0.03709076139775744
seed_20260928,shuffle_current_merchant,gap,first,0,,
seed_20260928,shuffle_current_merchant,gap,later,68939,4.455132179249602,0.03709076139775744
