repeat,real_events,generated_events,real_customers,generated_customers,invalid_amount_rate,invalid_gap_rate,merchant_category_tv,category_amount_tv,gap_previous_category_category_tv,history_amount_tv,category_tv,merchant_tv,amount_tv,gap_tv,real_fraud_rate,generated_fraud_rate,real_frauds,generated_frauds,invalid_generated_label_rate,label_tv,history_amount_label_tv,class_0_category_amount_tv,class_0_gap_previous_category_category_tv,class_0_history_amount_tv,class_1_category_amount_tv,class_1_gap_previous_category_category_tv,class_1_history_amount_tv
0,99913,78084,73,74,0.0,0.0,0.050929905298537956,0.03340407089058111,0.07232342803478514,0.05970468589215573,0.019297998084725817,0.050723471410804105,0.01193692039044923,0.03742545565534002,0.005694954610511145,0.007389477998053378,569,577,0.0,0.0016945233875422009,0.06064915480617513,0.033863174973439325,0.0729719371063455,0.059267364821607126,0.10346264868362116,0.43748444731996217,0.204461752849251
1,88764,89233,73,74,0.0,0.0,0.05234824018497168,0.04018816640668159,0.056989519889234064,0.02162469712068886,0.015219076677194946,0.052077698193900526,0.02147376067330536,0.01447398457460002,0.00613987652651976,0.006735176448175002,545,601,0.0,0.0005952999216552717,0.02245879553877767,0.04042259954616386,0.0574467128248881,0.02181668056865736,0.10582320800379233,0.4344078241560839,0.10319103814775081
2,87957,90040,73,74,0.0,0.0,0.05119997323921562,0.03356383965576814,0.05998097650396843,0.029116587485625046,0.016326951327692026,0.051108146055193246,0.012678653577782377,0.026446885133155712,0.007037529702013484,0.005852954242558862,619,527,0.0,0.0011845754594546139,0.029896828322279998,0.03416093550949318,0.060225421507442124,0.029481666487442097,0.08614691527968968,0.4556751345263422,0.10275309723438869
3,82823,95174,73,74,0.0,0.0,0.057741815809937896,0.072663636868101,0.07079459052484108,0.01862409747219475,0.021987311484511336,0.05755038344916098,0.032640119118967394,0.015376944605932391,0.006725185033142967,0.006188664971525837,557,589,0.0,0.0005365200616171632,0.019581635674910853,0.07317450311532034,0.07112639807923041,0.018464162199271092,0.11609920134510299,0.4087431693989072,0.17542384755499507
4,82637,95360,73,74,0.0,0.0,0.05414714502875964,0.033615337918005264,0.06139082635155751,0.027433920516006235,0.017458386725789407,0.053705766686770226,0.01912479923008472,0.011999533042108159,0.007454288030785241,0.005557885906040268,616,530,0.0,0.00189640212474502,0.028162496584886103,0.033707830665595545,0.06184167256216573,0.02684595339598978,0.10331824094456674,0.45571092655593354,0.1337364918951371
5,89917,88080,73,74,0.0,0.0,0.0541012595660806,0.07589313141616917,0.07224176237126792,0.03523527543319115,0.025489561510743143,0.053589664540465244,0.04616303629776966,0.027734814481460562,0.005616290579089605,0.00727747502270663,505,641,0.0,0.0016611844436169921,0.036569148612449795,0.07576979318554734,0.07225427297019975,0.035332092616034705,0.09305183164089947,0.44738226740980425,0.16601815414958745
6,84960,93037,73,74,0.0,0.0,0.05553597322932919,0.06280840515995025,0.07395331719090517,0.035900819368039134,0.026528269957883033,0.055180253802999665,0.037216495327669366,0.028820519782228098,0.0060969868173258,0.00675000268710298,518,628,0.0,0.0006530158697771768,0.036281784531707384,0.06298620587089579,0.07415145853623967,0.03563647484134007,0.06587655841157457,0.4520767826909122,0.1054772532377581
7,93205,84792,73,74,0.0,0.0,0.05601124742611018,0.07209345824306489,0.06958701594793122,0.02837215521246694,0.021871241429732846,0.055662846864886026,0.03886215389697287,0.013017204645837,0.005997532321227402,0.006922822907821493,559,587,0.0,0.0009252905865941379,0.02908525930525787,0.07215538170027892,0.06928144383577386,0.028055845205283366,0.09350802937881242,0.4636997385783642,0.1501680567658409
8,92567,85430,73,74,0.0,0.0,0.05202850896736541,0.02710936257715496,0.05614456358326466,0.022722180202250183,0.015084279457548347,0.05153531693563823,0.013733626371145086,0.010928086078439266,0.005812006438579624,0.007116937843848765,538,608,0.0,0.001304931405269179,0.023444554109638274,0.026966107294494113,0.055904619792338725,0.02241480134467262,0.08085648372162715,0.4480993216434148,0.12581594777934213
9,85477,92520,73,74,0.0,0.0,0.05454770093340694,0.06241684624562122,0.06803543411519676,0.03991468699131656,0.020613053824179082,0.05384746060814108,0.033156528541510244,0.027312131531935742,0.006914140646021737,0.005998702983138781,591,555,0.0,0.000915437662882945,0.041108110326637234,0.06312288598006806,0.06841692382184537,0.04048917232244973,0.11758441922376348,0.42073700434356176,0.10606697491943394
10,88684,89313,73,74,0.0,0.0,0.05338716649303335,0.10933536241431514,0.06890361979076408,0.03497372997949619,0.024926999619817817,0.05283440658149772,0.0649687521255085,0.023256298667915638,0.006404762978665825,0.006471622272233605,568,578,0.0,6.685929356776803e-05,0.03572080299552866,0.1100135929856039,0.0692545830390317,0.03536149731909322,0.09083442991665966,0.4174482739311812,0.093363571035268
11,82848,95149,73,74,0.0,0.0,0.05511765595503701,0.04978848511594879,0.07087109296234283,0.033246651906096866,0.02797228003204879,0.05480837591165029,0.0298077374160178,0.015013231300250751,0.007833623020471225,0.005223386478050216,649,497,0.0,0.002610236542420997,0.03418828111641663,0.04956967018008862,0.07072021853728958,0.032831870756099446,0.09604133424511813,0.4555504900843401,0.13722361522680646
