epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.12,0,1,64,0.5549,2.4,0.00141,
1.0,1,8,512,0.5425,16.8,0.00141,1.2179
2.0,1,16,998,0.5441,32.3,0.00141,1.2034
3.0,1,24,1484,0.5325,47.6,0.00141,1.1735
4.0,0,32,1970,0.5286,63.0,0.00141,1.1989
5.0,1,40,2456,0.5258,78.4,0.00141,1.1722
6.0,1,48,2942,0.523,93.8,0.00141,1.1684
7.0,0,56,3428,0.5239,109.3,0.00141,1.1724
8.0,1,64,3914,0.5146,124.8,0.00141,1.1307
9.0,0,72,4400,0.5153,140.3,0.00141,1.1481
10.0,0,80,4912,0.4848,156.9,0.00141,1.1573
11.0,1,88,5398,0.5009,172.9,0.00141,1.1134
12.0,0,96,5884,0.5052,188.6,0.00141,1.1329
13.0,0,104,6370,0.4949,204.4,0.00141,1.1361
14.0,0,112,6856,0.4977,220.2,0.00141,1.1219
15.0,1,120,7342,0.4886,236.2,0.000705,1.1023
16.0,0,128,7828,0.4841,252.1,0.000705,1.1036
17.0,1,136,8314,0.4839,268.2,0.000705,1.0982
18.0,0,144,8800,0.4911,283.9,0.000705,1.1132
19.0,0,152,9312,0.4605,300.7,0.000705,1.1217
20.0,0,160,9798,0.4879,316.5,0.000705,1.108
21.0,1,168,10284,0.4833,332.3,0.000353,1.097
22.0,0,176,10770,0.4752,348.1,0.000353,1.1019
23.0,1,184,11256,0.4784,363.8,0.000353,1.0863
24.0,1,192,11742,0.475,379.9,0.000353,1.0622
25.0,0,200,12228,0.4786,395.9,0.000353,1.0949
26.0,0,208,12714,0.4725,411.4,0.000353,1.0779
27.0,0,216,13200,0.4737,427.1,0.000353,1.0731
28.0,0,224,13712,0.4417,443.6,0.000176,1.069
29.0,1,232,14198,0.4793,459.3,0.000176,1.0442
30.0,1,240,14684,0.4723,475.2,0.000176,1.0378
31.0,0,248,15170,0.4758,490.9,0.000176,1.1042
32.0,0,256,15656,0.4645,506.9,0.000176,1.0565
33.0,0,264,16142,0.4669,522.9,0.000176,1.0692
34.0,0,272,16628,0.4727,538.8,0.000141,1.0555
35.0,0,280,17114,0.4616,554.5,0.000141,1.0647
