epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.12,0,1,64,0.5802,0.3,0.00141,
1.0,1,8,512,0.5336,1.0,0.00141,1.2309
2.0,1,16,998,0.5481,1.6,0.00141,1.2068
3.0,1,24,1484,0.538,2.2,0.00141,1.1888
4.0,1,32,1970,0.5284,2.9,0.00141,1.177
5.0,1,40,2456,0.5213,3.5,0.00141,1.1581
6.0,0,48,2942,0.5231,4.1,0.00141,1.1612
7.0,0,56,3428,0.5201,4.7,0.00141,1.1658
8.0,0,64,3914,0.5169,5.2,0.00141,1.1635
9.0,1,72,4400,0.5094,5.9,0.000705,1.1533
10.0,1,80,4912,0.4835,6.5,0.000705,1.1259
11.0,0,88,5398,0.5073,7.1,0.000705,1.1556
12.0,0,96,5884,0.506,7.6,0.000705,1.1443
13.0,0,104,6370,0.4999,8.2,0.000705,1.1559
14.0,0,112,6856,0.5031,8.7,0.000353,1.1477
15.0,0,120,7342,0.5031,9.3,0.000353,1.1261
