dataset,seed,threshold,events,predicted_count,observed_count,count_difference
berka,20261021,fit_q99,32314,1269.9690604471514,1304,34.03093955284862
berka,20261021,fit_q999,32314,757.2420164221503,793,35.7579835778497
berka,20261021,fit_max,32314,455.2796095856203,482,26.72039041437972
berka,20261021,ten_fit_max,32314,43.158500318354086,47,3.8414996816459137
berka,20261022,fit_q99,32314,1228.4088469256012,1197,-31.40884692560121
berka,20261022,fit_q999,32314,740.7535107063375,718,-22.753510706337465
berka,20261022,fit_max,32314,449.53472213889575,431,-18.534722138895745
berka,20261022,ten_fit_max,32314,43.99335608406003,46,2.006643915939968
sparkov,20261021,fit_q99,165024,1272.2339472272135,1233,-39.23394722721355
sparkov,20261021,fit_q999,165024,162.05342509715888,144,-18.05342509715888
sparkov,20261021,fit_max,165024,0.07456854160696132,0,-0.07456854160696132
sparkov,20261021,ten_fit_max,165024,9.52707308485947e-05,0,-9.52707308485947e-05
sparkov,20261022,fit_q99,165024,1269.3459057740338,1278,8.654094225966219
sparkov,20261022,fit_q999,165024,163.75748115366275,175,11.242518846337248
sparkov,20261022,fit_max,165024,0.07431599592614917,0,-0.07431599592614917
sparkov,20261022,ten_fit_max,165024,7.26120271541978e-05,0,-7.26120271541978e-05
