kappa,kind,group,planned_entities,generated_entities,events,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1
0,generated,context_0,1834.0,1834.0,43810.0,0.017034683637447128,0.16023898971307565,0.26672356803103525,1.9016579108536907e-05,0.01698989427108081,0.00378353131224807,0.00781948693827646,0.04037290627628273,2.858776443682104e-05,0.009489627954539729,0.00534337707962134,0.012844152367179191,0.015980419726708
0,generated,context_1,214.0,214.0,5110.0,0.04288726960733364,0.20073087452095364,0.2650241621965185,0.0002802296068394707,0.017418495345241543,0.01529165799702053,0.015241272858497829,0.05377729524368104,0.0,0.02106276207327882,0.014243027485019068,0.023910678166852512,0.0359627026949664
0,generated,pooled,2048.0,2048.0,48920.0,0.01577478658026188,0.1579357325399898,0.26656195599541177,1.5858829596362177e-05,0.016979937359701307,0.00479477304771816,0.007797621517908219,0.040422767739197514,2.560163850486431e-05,0.00883364304430893,0.00534752887614209,0.01230377906803656,0.0151509478048313
0,roundtrip,context_0,6193.0,6193.0,148463.0,0.0010206352612795598,0.00261399113120717,0.00047222562306344,1.8152082037397558e-06,0.02276890960484037,0.0003041773691593058,0.00589864342447456,0.03098456329201834,0.0,0.0,0.00550844318112926,0.009806256845178881,0.0
0,roundtrip,context_1,653.0,653.0,15654.0,0.0017134690888421199,0.00292887032915833,0.00069919018857798,1.3388256987095559e-05,0.029093428159038693,0.0008013362982694106,0.00576628224785005,0.031153503045284702,0.0,0.0,0.00466334483199177,0.00927861507932099,0.0
0,roundtrip,pooled,6846.0,6846.0,164117.0,0.0009407556080062201,0.00232836611137036,0.00047856658152246,2.942809495805538e-07,0.02334356735921436,0.0002764800940569842,0.00586058459601573,0.0309062822555624,0.0,0.0,0.00539188505761131,0.00968100881128316,0.0
1,generated,context_0,1834.0,1834.0,43810.0,0.01606980779635481,0.17608919654999117,0.2976586647813392,1.7924608997502404e-05,0.02487355901305581,0.0031398617834787097,0.00725041400047462,0.03416985062210062,5.717552887363261e-05,0.00903859411122503,0.00541566832225168,0.01249000697225705,0.015980419726708
1,generated,context_1,214.0,214.0,5110.0,0.04828393216409441,0.21608617092375804,0.30003499007429096,0.08052985196602118,0.031666811554129634,0.02305427002532491,0.01450138482053261,0.04169958283241235,6.127450980389999e-05,0.025652539493353898,0.016219194083803908,0.02405527750656605,0.0359627026949664
1,generated,pooled,2048.0,2048.0,48920.0,0.015346124778937209,0.17566376351283597,0.2978788095021218,0.00073558807522016,0.02551173256200253,0.00468967244341384,0.0073721341183853,0.033783399859837394,5.760368663593503e-05,0.009271039951350679,0.00539217170770677,0.01279014192566752,0.0151509478048313
1,roundtrip,context_0,6193.0,6193.0,148463.0,0.0009334291974991001,0.0020221518594345502,0.00022676058643141477,2.710750249468747e-06,0.02046239564218518,0.00022117699897479222,0.00550924298868347,0.025920194706125672,0.0,0.0,0.00571051373069379,0.009713747120125401,0.0
1,roundtrip,context_1,653.0,653.0,15654.0,0.0015340161739146201,0.00230091732416958,0.00063108193524134,0.00013525099154778134,0.02370497444420932,0.0008790467203370192,0.005832944470368561,0.028183215550535427,0.0,0.0,0.00539798134662064,0.00989374214990522,0.0
1,roundtrip,pooled,6846.0,6846.0,164117.0,0.0008361590427233299,0.00185028257705513,0.00025498302968203853,5.17441381565802e-06,0.02077668405954259,0.00015767340844773594,0.00552167913982866,0.02604790554044605,0.0,0.0,0.00565815850886865,0.00965472987401729,0.0
