model,seed,mark,rate
observed_validation,0,VYBER,0.4199326402851688
observed_validation,0,PREVOD NA UCET,0.18183317370814595
observed_validation,0,PRIJEM,0.17637208948313152
observed_validation,0,VKLAD,0.1497136260711273
observed_validation,0,PREVOD Z UCTU,0.06537444263324475
observed_validation,0,VYBER KARTOU,0.006774027819181662
D,20261021,VYBER,0.45472550597264344
D,20261021,VKLAD,0.16899795754162283
D,20261021,PRIJEM,0.1645416847186978
D,20261021,PREVOD NA UCET,0.15315343194900044
D,20261021,PREVOD Z UCTU,0.050442532648387696
D,20261021,VYBER KARTOU,0.008138887169647831
D,20261022,VYBER,0.43832394627715543
D,20261022,VKLAD,0.18351179055517733
D,20261022,PRIJEM,0.1641084359720245
D,20261022,PREVOD NA UCET,0.1579501145014545
D,20261022,PREVOD Z UCTU,0.042365538156836045
D,20261022,VYBER KARTOU,0.013740174537352231
D_bin,20261021,VYBER,0.46843473417094755
D_bin,20261021,VKLAD,0.16435600668440922
D_bin,20261021,PRIJEM,0.16175651420436962
D_bin,20261021,PREVOD NA UCET,0.13387386272204
D_bin,20261021,PREVOD Z UCTU,0.055950980998947825
D_bin,20261021,VYBER KARTOU,0.01562790121928576
D_bin,20261022,VYBER,0.46416413938231105
D_bin,20261022,VKLAD,0.18447112706566812
D_bin,20261022,PRIJEM,0.16296342142724515
D_bin,20261022,PREVOD NA UCET,0.12335210744568917
D_bin,20261022,PREVOD Z UCTU,0.0435105527016154
D_bin,20261022,VYBER KARTOU,0.021538651977471065
