dataset,model,threshold,cut,actual,predicted,absolute_error
berka,D,q99,45493.95999999996,0.010547947812077813,0.0184073473253759,0.007859399513298088
berka,D,q999,62500.0,0.0010909483004674586,0.0095403194036592,0.00844937110319174
berka,D,fit_max,87400.0,0.0,0.0053189896910533,0.0053189896910533
berka,D,ten_fit_max,874000.0,0.0,0.0004301193779919,0.0004301193779919
berka,D_bin,q99,45493.95999999996,0.010547947812077813,0.009642495043949024,0.000905452768128789
berka,D_bin,q999,62500.0,0.0010909483004674586,0.0011232007465525593,3.225244608510069e-05
berka,D_bin,fit_max,87400.0,0.0,0.0,0.0
berka,D_bin,ten_fit_max,874000.0,0.0,0.0,0.0
sparkov,D,q99,540.6987999999989,0.011208054068326994,0.0109585358099789,0.0002495182583480936
sparkov,D,q999,1497.577679999998,0.0009213638432108406,0.0013627381430565,0.0004413742998456595
sparkov,D,fit_max,27390.12,0.0,6.589254174394787e-07,6.589254174394787e-07
sparkov,D,ten_fit_max,273901.2,0.0,8.501050980284501e-10,8.501050980284501e-10
sparkov,D_bin,q99,540.6987999999989,0.011208054068326994,0.010761127235966693,0.00044692683236030074
sparkov,D_bin,q999,1497.577679999998,0.0009213638432108406,0.000993568563590858,7.220472038001744e-05
sparkov,D_bin,fit_max,27390.12,0.0,0.0,0.0
sparkov,D_bin,ten_fit_max,273901.2,0.0,0.0,0.0
