dataset,model,variant,generation_seed,q0,q0.01,q0.5,q0.9,q0.99,q0.999,q1
berka,U,raw,20261021.0,-13337764.159197263,-5.048710268810755,1887.613121407648,68379.99714618303,6328945.55768701,1574543543.5918667,69942259280986.4
berka,U,raw,20261022.0,-5107811.768824359,-10.981381590248954,1781.2997004703625,68023.1485192,7417895.946417447,1312197117.0759172,180012486442324.12
berka,U,gap,20261021.0,-252622561.26496202,-5.767350706233889,1922.3424849095286,69068.67549138344,7212888.487106826,1883957418.346718,69942259280986.4
berka,U,gap,20261022.0,-5107811.768824359,-12.1592866325431,1746.1696008561412,71124.96334644417,9368499.458409816,3999700965.644283,7103224635467.35
berka,G,raw,20261021.0,-5688442976.422716,-5.947388131945089,1386.6900926580429,45718.282888578506,3869707.698912345,401315476.29708314,185993145355.49854
berka,G,raw,20261022.0,-926923.9686216203,-8.176991869324084,1310.2165181170851,44914.501875915754,4939679.876651734,1490742082.5436764,58543047407011.6
berka,G,gap,20261021.0,-5688442976.422716,-7.615963570623353,1396.6661780562554,46223.13408546177,4438176.455408126,708310960.0732142,60330950648363.2
berka,G,gap,20261022.0,-202222518.82452464,-7.567585355054085,1294.730353973257,45615.87915079309,5243689.334330891,1629593213.6679723,2087149169789.7837
berka,Marginal,raw,20261021.0,0.0,14.6,2100.0,18470.7,45426.13999999998,60719.923000000155,78900.0
berka,Marginal,raw,20261022.0,0.0,14.6,2056.0,18657.900000000005,45300.0,61768.700000000536,78000.0
berka,Transition,raw,20261021.0,0.0,14.6,2100.0,18300.0,45084.579999999965,61189.97700000359,78900.0
berka,Transition,raw,20261022.0,0.0,14.6,2014.0,18438.0,45700.39999999998,62237.40000000107,78000.0
berka,ARGN,raw,20261021.0,0.7,15.3,1714.0,18128.369999999995,49867.47899999983,84170.76950000237,87286.1
berka,ARGN,raw,20261022.0,0.0,15.1,1634.05,16984.21,44773.88800000001,80780.53110000015,87190.7
berka,CPAR_tail,raw,20261021.0,0.0,0.0,5897.0,17020.810000000005,26628.43299999997,33125.181900000665,43672.8
berka,CPAR_tail,raw,20261022.0,0.0,0.0,5897.0,17001.3,26284.822999999997,33012.2189000004,46812.0
berka,U_amount,raw,20261021.0,0.00036977920499669246,12.718241801950473,4297.040933358883,28016.405936527623,116536.64586617245,824668.9993187693,54332163.806380615
berka,U_amount,raw,20261022.0,0.005961507009407049,12.772367884247343,3759.7761836639,25275.14084549412,103169.5916563903,684554.0444793518,76817599.20471235
berka,U_amount,gap,20261021.0,2.227433742006948e-05,12.698646385323714,3967.122206520481,26078.27822286382,119388.62106005188,1173336.0451967495,52983981129.97119
berka,U_amount,gap,20261022.0,0.005901469512980478,12.784373237672854,3691.7929341692634,25573.54555511183,103520.94131590686,636467.345962184,207256148.354677
berka,G_amount,raw,20261021.0,0.0,12.832584019909142,2827.8777272345415,25921.043368564,115816.62466739505,1356445.8425889092,8379681681.590849
berka,G_amount,raw,20261022.0,0.0,12.992445591455432,3035.4919757562457,27251.731719105042,111332.79273402978,1490400.8386076102,567809989.2955489
berka,G_amount,gap,20261021.0,0.0,12.793138339718425,2922.580977876008,26995.486944828514,113043.19347274603,1000683.576271388,8737010683.246834
berka,G_amount,gap,20261022.0,7.157942574503309e-05,12.978245640988721,3077.7418984955307,28108.672184523843,110583.96647781212,1176334.5519951144,567809989.2955489
berka,U_action,raw,20261021.0,-3018851594.4598703,-10.215840326443859,2390.621253331583,103326.04564254986,21903097.771166064,5005281954.94902,534551566157306.3
berka,U_action,raw,20261022.0,-11331038.025695644,-8.112707984425189,2251.450797275801,94640.96894725104,17243187.19997901,7656473904.303128,73289438332602.23
berka,U_action,gap,20261021.0,-22307333.724946994,-8.97443012593929,2406.6133937732347,103742.9376169053,19563891.905106504,3773876571.264669,67006185772941.45
berka,U_action,gap,20261022.0,-11331038.025695644,-7.4172549699678845,2362.298310200931,95904.87525229761,16441888.893494487,5857005399.824405,241514395926932.06
berka,G_action,raw,20261021.0,-2652296.6596293426,-6.037100551157912,1628.051431271189,77240.67110416634,11183517.58679666,2130324367.7156928,6999927730213.883
berka,G_action,raw,20261022.0,-9759190.025808662,-5.63161213533144,1760.3473434134316,75703.35612523791,7506715.750146497,984102596.9570441,25275601905199.594
berka,G_action,gap,20261021.0,-31395777.816553123,-6.729972215105626,1637.2614818366237,74348.96286838742,8458370.150964607,2097031086.6944315,6999927730213.883
berka,G_action,gap,20261022.0,-9759190.025808662,-5.081378589761506,1783.66085987966,81397.89250337933,8966438.551678415,1231829083.2098963,25275601905199.594
berka,U_both,raw,20261021.0,0.0,13.314239073288547,3873.6243687090105,26362.257638712275,107530.66535671896,545503.3960146181,2821450205.2633395
berka,U_both,raw,20261022.0,0.0,13.213275244993158,4436.070873015426,28947.302448247312,113775.3373645648,958964.880163372,631804984309.3715
berka,U_both,gap,20261021.0,0.0,13.316399429881075,3852.1343169173833,26836.223652344237,102851.27865712735,621408.8353134504,19786036.51188611
berka,U_both,gap,20261022.0,0.0,13.23894752119194,4458.107377192648,28529.98968041888,117693.16026839723,691144.9263136337,631804984309.3715
berka,G_both,raw,20261021.0,0.0,13.264513757485119,2624.4908568616756,22320.706505485246,99898.7369098048,683006.6499229649,185189623.76106906
berka,G_both,raw,20261022.0,0.0,13.183065614621741,2723.790545055163,22235.93675513889,98372.54573671879,923303.7316679978,828614122.812574
berka,G_both,gap,20261021.0,0.0,13.277821690268707,2576.4485386763736,22743.836278256193,104238.3857456185,562067.1027750731,185189623.76106906
berka,G_both,gap,20261022.0,0.0,13.22212710036716,2698.2965419105626,21909.593750712957,103804.78900102814,1536148.766687855,15684046353.027895
berka,D_both,raw,20261021.0,0.0,12.103388524699032,2526.825236848853,24078.813684804532,115767.16380498263,1188344.5766125785,630980835.1775202
berka,D_both,raw,20261022.0,0.0,12.193012545414968,2431.049935115867,22881.018950120764,109607.23014676402,1413772.4125900809,571126418704.7767
berka,D_both,gap,20261021.0,0.0,12.316733014857737,2464.5951655511353,23378.56846186212,106963.3189209996,1405981.6465766353,1793954164.720058
berka,D_both,gap,20261022.0,0.0,12.291834470638037,2516.8682552986565,23348.754935866215,109910.69996699046,1235125.601072524,1062884196261.7712
sparkov,U,raw,20261021.0,-320.53324642912173,-0.254244207404346,44.26791432902778,147.43662109751114,652.8484699895342,3120.4766706240557,92396.36436788645
sparkov,U,raw,20261022.0,-537.174315962281,-0.24778396495227734,44.078769925440476,146.46548002403716,650.858484962882,3438.597740894916,855748.5259192376
sparkov,U,gap,20261021.0,-320.53324642912173,-0.25413382782188826,44.27182142734046,147.44050915294642,652.8484699895342,3120.4766706240557,92396.36436788645
sparkov,U,gap,20261022.0,-537.174315962281,-0.24778396495227734,44.078769925440476,146.4715655467057,650.6209732474185,3438.597740894916,855748.5259192376
sparkov,G,raw,20261021.0,-308.59312924837235,-0.23576954062177974,45.178544573056676,151.957686799845,679.2209027381439,3219.7108738666634,91017.85418559515
sparkov,G,raw,20261022.0,-1258.2048372663926,-0.25267946511162104,44.93321308289957,150.44791397193228,665.3671477870841,3513.470273612302,672310.0553813955
sparkov,G,gap,20261021.0,-308.59312924837235,-0.23576954062177974,45.17783191160264,151.95619197814162,679.2209027381439,3219.7108738666634,91017.85418559515
sparkov,G,gap,20261022.0,-1258.2048372663926,-0.25267946511162104,44.93433886571644,150.44625296601987,665.3671477870841,3513.470273612302,672310.0553813955
sparkov,Marginal,raw,20261021.0,1.0,1.24,47.6,134.44,534.586299999998,1460.6085700000597,27119.77
sparkov,Marginal,raw,20261022.0,1.0,1.26,47.93,134.46700000000013,542.0576999999998,1508.614710000003,14467.64
sparkov,Transition,raw,20261021.0,1.0,1.25,48.37,134.28,537.2762999999981,1472.1540200000036,27119.77
sparkov,Transition,raw,20261022.0,1.0,1.26,48.6,134.74,540.6676999999999,1503.497130000131,14467.64
sparkov,ARGN,raw,20261021.0,1.0,1.27,49.15,132.57,1543.386599999981,26664.899920000364,28948.9
sparkov,ARGN,raw,20261022.0,1.0,1.27,49.09,131.43,2249.3593999998816,26453.992470000157,28948.9
sparkov,CPAR_tail,raw,20261021.0,1.0,1.0,69.82,254.62700000000012,417.3153999999998,536.8489600000065,752.17
sparkov,CPAR_tail,raw,20261022.0,1.0,1.0,69.82,254.98,418.5407999999996,543.4360900000023,731.38
sparkov,U_amount,raw,20261021.0,0.07805177047468133,1.3176107304199807,42.512662484422535,132.73186915756574,482.09824253980884,1518.316059307035,17773.842914059147
sparkov,U_amount,raw,20261022.0,0.08652336896696507,1.32299340212167,44.44652163189565,132.3039092242197,486.8982738959453,1501.9848233869163,21842.41791234329
sparkov,U_amount,gap,20261021.0,0.07805177047468133,1.3158084586464724,42.26083559357072,132.77381626094976,482.679273080146,1518.316059307035,17773.842914059147
sparkov,U_amount,gap,20261022.0,0.08652336896696507,1.3232924041605942,44.4755252626331,132.4590454533657,487.0290375273796,1502.3440470397081,21842.41791234329
sparkov,G_amount,raw,20261021.0,0.07420984682492682,1.366800706521322,44.66321617090131,134.08593366729812,484.49020928172683,1526.244313177306,10180.561953010096
sparkov,G_amount,raw,20261022.0,0.08438738446423104,1.372336868477728,46.01705701305829,134.2626351858917,498.8174373902896,1529.3802406928653,19212.131144843857
sparkov,G_amount,gap,20261021.0,0.07420984682492682,1.366800706521322,44.660808428262385,134.0968120291247,484.589269962596,1526.244313177306,10180.561953010096
sparkov,G_amount,gap,20261022.0,0.08438738446423104,1.372336868477728,46.03576190026473,134.29628821255938,498.8557450445226,1529.3802406928653,19212.131144843857
sparkov,U_action,raw,20261021.0,-374.505110084599,-0.34952140452457875,42.689752651498175,144.1805743663519,649.6401996895011,2973.650086796148,60406.45942168376
sparkov,U_action,raw,20261022.0,-732.9679360961484,-0.3345726772269058,42.64708836441869,143.35606078780768,651.8399597005402,3506.591813723092,1113263.4806022304
sparkov,U_action,gap,20261021.0,-374.505110084599,-0.34952140452457875,42.687016398218844,144.1644700420349,649.6401996895011,2972.001463865764,60406.45942168376
sparkov,U_action,gap,20261022.0,-732.9679360961484,-0.3345726772269058,42.64556277326271,143.35606078780768,651.6408833902212,3506.591813723092,1113263.4806022304
sparkov,G_action,raw,20261021.0,-321.00878297800386,-0.37692147547209387,46.2162671384293,164.8046455400399,792.2902944301024,3710.448137845576,153427.44616031626
