dataset,model,variant,metric,original,amount_only,action_only,both,amount_effect_at_old_action,amount_effect_at_new_action,action_effect_at_old_amount,action_effect_at_new_amount,descriptive_interaction
berka,U,raw,daily_gap_mark_joint_tv,0.24301239776796257,0.15176747786320322,0.22724002992361636,0.16970936273870335,-0.09124491990475936,-0.05753066718491301,-0.015772367844346213,0.017941884875500136,0.03371425271984635
berka,U,raw,root_amount_joint_tv,0.3186644600333034,0.2237255743725302,0.33486291422287023,0.27465926603866886,-0.09493888566077319,-0.060203648184201375,0.016198454189566835,0.05093369166613865,0.03473523747657181
berka,U,raw,amount_ks,0.11346886515387566,0.1391855533927413,0.13502873720332487,0.1394974191036668,0.025716688238865637,0.004468681900341942,0.021559872049449202,0.0003118657109255074,-0.021248006338523695
berka,U,raw,mark_tv,0.11945455882941175,0.06605343036958122,0.13054560094580206,0.09944775063482117,-0.05340112845983053,-0.03109785031098089,0.01109104211639031,0.033394320265239946,0.022303278148849637
berka,U,raw,root_tv,0.11945455882941175,0.06605343036958122,0.13054560094580206,0.09944775063482117,-0.05340112845983053,-0.03109785031098089,0.01109104211639031,0.033394320265239946,0.022303278148849637
berka,U,gap,daily_gap_mark_joint_tv,0.24346611020212017,0.15285311010079297,0.22871179094811295,0.1683731696125083,-0.0906130001013272,-0.060338621335604636,-0.01475431925400722,0.01552005951171534,0.03027437876572256
berka,U,gap,root_amount_joint_tv,0.3224340364565355,0.2137145501850545,0.3359378473154194,0.27739206443629005,-0.10871948627148101,-0.05854578287912937,0.013503810858883913,0.06367751425123555,0.050173703392351665
berka,U,gap,amount_ks,0.11470080634589402,0.12722318254562703,0.1355520135907451,0.1406114873093981,0.01252237619973301,0.005059473718653007,0.020851207244851067,0.013388304763771064,-0.007462902481080003
berka,U,gap,mark_tv,0.1247928023152074,0.05476177388624539,0.1319381862029661,0.09882882385385935,-0.070031028428962,-0.03310936234910675,0.007145383887758705,0.044067049967613965,0.03692166607985525
berka,U,gap,root_tv,0.1247928023152074,0.05476177388624539,0.1319381862029661,0.09882882385385935,-0.070031028428962,-0.03310936234910675,0.007145383887758705,0.044067049967613965,0.03692166607985525
berka,G,raw,daily_gap_mark_joint_tv,0.202203749064493,0.16376956321110564,0.2126971113805758,0.11844756753653676,-0.03843418585338737,-0.09424954384403902,0.010493362316082777,-0.04532199567456888,-0.055815357990651626
