dataset,split,view,grouping,gap_bin,metric,value,ci_low,ci_high,entity_mean,rows,entities,coverage,run_bin
berka,train,unambiguous,gap_bin,1.0,repeat,0.33122809720029267,0.31992796609382884,0.34255045947911916,0.32938023714718173,103868,3094,True,
berka,train,unambiguous,gap_bin,1.0,secondary_repeat,0.47509338776138943,0.46480241188182025,0.48607887511361303,0.49817996222012373,103868,3094,True,
berka,train,unambiguous,gap_bin,1.0,log_amount,8.132310721374092,8.084893504397305,8.179924122053723,8.179280088994782,103868,3094,True,
berka,train,unambiguous,gap_bin,2.0,repeat,0.2768429952091242,0.2637847901674036,0.28966986591047744,0.29422555770062603,60323,3081,True,
berka,train,unambiguous,gap_bin,2.0,secondary_repeat,0.4380916068497919,0.42563692961098404,0.4515550099173713,0.496318319423613,60323,3081,True,
berka,train,unambiguous,gap_bin,2.0,log_amount,8.276020321354306,8.230125045042328,8.322397038491085,8.186946006036784,60323,3081,True,
berka,train,unambiguous,gap_bin,3.0,repeat,0.2474072889173265,0.23518081734152405,0.2595350177103257,0.2703298170720422,37509,3027,True,
berka,train,unambiguous,gap_bin,3.0,secondary_repeat,0.43981444453331203,0.4252778299269653,0.4543722559740389,0.5178127809075387,37509,3027,True,
berka,train,unambiguous,gap_bin,3.0,log_amount,8.36807021112422,8.323854324525332,8.408900866215,8.264390742325253,37509,3027,True,
berka,train,unambiguous,gap_bin,4.0,repeat,0.21759469524934144,0.21053992883768338,0.22480819764908316,0.23495108419617208,44036,3073,True,
berka,train,unambiguous,gap_bin,4.0,secondary_repeat,0.46636842583340904,0.4552259809687688,0.4774589508549259,0.5299071324543145,44036,3073,True,
berka,train,unambiguous,gap_bin,4.0,log_amount,8.360257283043936,8.321123066768818,8.394125586584988,8.194427166917635,44036,3073,True,
berka,train,unambiguous,gap_bin,5.0,repeat,0.19889247808029534,0.19267001016992621,0.2049047990652297,0.22162337617254269,39006,3147,True,
berka,train,unambiguous,gap_bin,5.0,secondary_repeat,0.5463774803876327,0.5362020160069094,0.5556409065114211,0.5848146604125707,39006,3147,True,
berka,train,unambiguous,gap_bin,5.0,log_amount,7.721132747952097,7.679538377975244,7.761521219293512,7.643344425294075,39006,3147,True,
berka,train,unambiguous,run_bin,,repeat,0.23948035246688748,0.23293987552298792,0.24539904698638942,0.2496274081423143,236391,3150,True,1
berka,train,unambiguous,run_bin,,secondary_repeat,0.4411927696062879,0.43562284684788655,0.44669151856078765,0.45362899316072336,236391,3150,True,1
berka,train,unambiguous,run_bin,,log_amount,8.198478008788486,8.1674559398334,8.230135761868384,8.147345951082423,236391,3150,True,1
berka,train,unambiguous,run_bin,,repeat,0.4194757399923235,0.40802853601853145,0.4341273633383498,0.49106545818893244,44291,3084,True,2-3
berka,train,unambiguous,run_bin,,secondary_repeat,0.6097401277911991,0.5953347544926173,0.6236855553467867,0.6892592088243593,44291,3084,True,2-3
berka,train,unambiguous,run_bin,,log_amount,8.057649326274918,8.009053309812959,8.101369823180617,7.754210768729161,44291,3084,True,2-3
berka,train,unambiguous,run_bin,,repeat,0.6244400199104032,0.5894209571671172,0.6569223928509457,0.6376128552476609,4018,1506,True,4-7
berka,train,unambiguous,run_bin,,secondary_repeat,0.6956197112991538,0.6612275016815637,0.7279446308078735,0.6971977211157608,4018,1506,True,4-7
berka,train,unambiguous,run_bin,,log_amount,7.931560746785168,7.851428509403576,8.012894584001154,7.772187843467514,4018,1506,True,4-7
berka,train,unambiguous,run_bin,,repeat,0.5952380952380952,0.44708333333333333,0.6900862068965518,0.5347222222222222,42,24,False,8+
berka,train,unambiguous,run_bin,,secondary_repeat,0.5952380952380952,0.44784946236559137,0.7041456228956229,0.5138888888888888,42,24,False,8+
berka,train,unambiguous,run_bin,,log_amount,7.742636152291722,7.285048293298112,8.275500745533499,7.9149694720320865,42,24,False,8+
berka,train,unambiguous,gap_binxrun_bin,1.0,repeat,0.2961950683885136,0.28350848781306015,0.3079079089498397,0.3056311597634029,83786,3084,True,1
berka,train,unambiguous,gap_binxrun_bin,1.0,secondary_repeat,0.44653044661399277,0.4347799579534854,0.4580655554379962,0.4816461711182919,83786,3084,True,1
berka,train,unambiguous,gap_binxrun_bin,1.0,log_amount,8.123610877112252,8.072617160353612,8.174765836974975,8.191968405028023,83786,3084,True,1
berka,train,unambiguous,gap_binxrun_bin,1.0,repeat,0.46254478341113886,0.4401186486047113,0.4875189870691711,0.49923055159117663,18422,2543,True,2-3
berka,train,unambiguous,gap_binxrun_bin,1.0,secondary_repeat,0.5860927152317881,0.5628051776475844,0.6122495601851551,0.6685077955148577,18422,2543,True,2-3
berka,train,unambiguous,gap_binxrun_bin,1.0,log_amount,8.181664331279698,8.099181108831308,8.264632453768076,8.068169585383906,18422,2543,True,2-3
berka,train,unambiguous,gap_binxrun_bin,1.0,repeat,0.6415208207604104,0.5760520760028149,0.7021173797605895,0.6756672171758877,1657,865,True,4-7
berka,train,unambiguous,gap_binxrun_bin,1.0,secondary_repeat,0.6849728424864212,0.6149867004022317,0.7515941865910155,0.7249729403544432,1657,865,True,4-7
berka,train,unambiguous,gap_binxrun_bin,1.0,log_amount,8.021972150573395,7.869403989702976,8.162279511969068,7.815168612881985,1657,865,True,4-7
