kappa,trial,name,variant,group,mean_range
0,0,U,raw,0,0.021046431518606294
0,0,U,raw,1,0.041343321153754296
0,0,U,gap,0,0.022212902366111665
0,0,U,gap,1,0.042573732117142465
0,0,U,direct,0,0.005754679441452026
0,0,U,direct,1,0.007934600114822388
0,0,G,raw,0,0.02375358624791947
0,0,G,raw,1,0.04302663908869165
0,0,G,gap,0,0.024530347085973087
0,0,G,gap,1,0.04450396548779781
0,0,G,direct,0,0.005754679441452026
0,0,G,direct,1,0.007934600114822388
0,0,C,raw,0,0.03485616798087505
0,0,C,raw,1,0.06778854793465339
0,0,C,gap,0,0.035294841389682634
0,0,C,gap,1,0.06921859212208305
0,0,C,direct,0,0.005754679441452026
0,0,C,direct,1,0.007934600114822388
0,1,U,raw,0,0.020612559858911087
0,1,U,raw,1,0.04258225256346086
0,1,U,gap,0,0.021333832515864702
0,1,U,gap,1,0.04330456482209436
0,1,U,direct,0,0.005754679441452026
0,1,U,direct,1,0.007934600114822388
0,1,G,raw,0,0.022397674441195625
0,1,G,raw,1,0.043976285778682046
0,1,G,gap,0,0.023024930455537697
0,1,G,gap,1,0.044562811884818
0,1,G,direct,0,0.005754679441452026
0,1,G,direct,1,0.007934600114822388
0,1,C,raw,0,0.031026667600232028
0,1,C,raw,1,0.05935121414923376
0,1,C,gap,0,0.031584584961294765
0,1,C,gap,1,0.0601653379101483
0,1,C,direct,0,0.005754679441452026
0,1,C,direct,1,0.007934600114822388
0,2,U,raw,0,0.02128463398981596
0,2,U,raw,1,0.038612736671432786
0,2,U,gap,0,0.021860567090412383
0,2,U,gap,1,0.03874437115048194
0,2,U,direct,0,0.005754679441452026
0,2,U,direct,1,0.007934600114822388
0,2,G,raw,0,0.021228148955499897
0,2,G,raw,1,0.04004186000475292
0,2,G,gap,0,0.021836502665806314
0,2,G,gap,1,0.040125695129950595
0,2,G,direct,0,0.005754679441452026
0,2,G,direct,1,0.007934600114822388
0,2,C,raw,0,0.0319906841183342
0,2,C,raw,1,0.058253263224595175
0,2,C,gap,0,0.03195438198005366
0,2,C,gap,1,0.05912266324230029
0,2,C,direct,0,0.005754679441452026
0,2,C,direct,1,0.007934600114822388
1,0,U,raw,0,0.024696135846544558
1,0,U,raw,1,0.3527714831449354
1,0,U,gap,0,0.025472248002258772
1,0,U,gap,1,0.38633695842661137
1,0,U,direct,0,0.002879500389099121
1,0,U,direct,1,0.4881268408360562
1,0,G,raw,0,0.02488497751194249
1,0,G,raw,1,0.3626787775691034
1,0,G,gap,0,0.02536351587301538
1,0,G,gap,1,0.39092896479377337
1,0,G,direct,0,0.002879500389099121
1,0,G,direct,1,0.4881268408360562
1,0,C,raw,0,0.031672883570981046
1,0,C,raw,1,0.2960278929010102
1,0,C,gap,0,0.03260773024675911
1,0,C,gap,1,0.3518617217975225
1,0,C,direct,0,0.002879500389099121
1,0,C,direct,1,0.4881268408360562
1,1,U,raw,0,0.039673427593557894
1,1,U,raw,1,0.36696474733341705
1,1,U,gap,0,0.039517905719213736
1,1,U,gap,1,0.38956369744873337
1,1,U,direct,0,0.002879500389099121
1,1,U,direct,1,0.4881268408360562
1,1,G,raw,0,0.034128866464455426
1,1,G,raw,1,0.3691048442313353
1,1,G,gap,0,0.03402534958071996
1,1,G,gap,1,0.3912457961583393
1,1,G,direct,0,0.002879500389099121
1,1,G,direct,1,0.4881268408360562
1,1,C,raw,0,0.03332686056177681
1,1,C,raw,1,0.3166477328785346
1,1,C,gap,0,0.033722097135932286
1,1,C,gap,1,0.3631866230625106
1,1,C,direct,0,0.002879500389099121
1,1,C,direct,1,0.4881268408360562
1,2,U,raw,0,0.027531150199115593
1,2,U,raw,1,0.36373885265718375
1,2,U,gap,0,0.027785424413164003
1,2,U,gap,1,0.3843757763025772
1,2,U,direct,0,0.002879500389099121
1,2,U,direct,1,0.4881268408360562
1,2,G,raw,0,0.028397488741190007
1,2,G,raw,1,0.3695275810237683
1,2,G,gap,0,0.029051725849047264
1,2,G,gap,1,0.3881791815458359
1,2,G,direct,0,0.002879500389099121
1,2,G,direct,1,0.4881268408360562
1,2,C,raw,0,0.03561740946196093
1,2,C,raw,1,0.3116294762852729
1,2,C,gap,0,0.03617722230432406
1,2,C,gap,1,0.36032273005380383
1,2,C,direct,0,0.002879500389099121
1,2,C,direct,1,0.4881268408360562
