kappa,trial,name,epochs,best_epoch,best_validation_nll,seconds,parameters,peak_reserved_bytes
0,0,U,16,10,8.21803824988776,23.099490300985053,133549,432013312
0,0,G,16,10,8.218011098224753,25.77890574396588,133549,429916160
0,0,C,16,10,8.22130931389393,27.123322287981864,133549,429916160
0,1,U,14,8,8.218050624926121,21.829070392006543,133549,432013312
0,1,G,14,8,8.218116305337276,21.521666370041203,133549,429916160
0,1,C,14,8,8.221304404174893,24.009599180950318,133549,429916160
0,2,U,13,7,8.21873729389569,20.619053359958343,133549,432013312
0,2,G,13,7,8.218780058820041,20.470534454041626,133549,429916160
0,2,C,13,7,8.222029971975946,24.618086653004866,133549,429916160
1,0,U,15,9,8.191606596888903,23.04352835001191,133549,432013312
1,0,G,15,9,8.191534826930594,22.042773107998073,133549,429916160
1,0,C,15,9,8.195919135369367,26.503787908004597,133549,429916160
1,1,U,15,9,8.192424910752738,20.53500810195692,133549,432013312
1,1,G,15,9,8.192357097724763,22.99855135602411,133549,429916160
1,1,C,15,9,8.196391887255126,26.15563336899504,133549,429916160
1,2,U,15,9,8.192629341586098,23.530628197011538,133549,432013312
1,2,G,15,9,8.192540505427235,21.684938578051515,133549,429916160
1,2,C,15,9,8.19686771318733,25.445714866044,133549,429916160
