codec,seed,exact_fraction,median_absolute_seconds,p99_absolute_seconds,max_absolute_seconds
native_binned,20261200,0.001945459657014338,175.0,173240.45000000088,814732.0
native_binned,20261201,0.0021310092774810235,174.0,169709.5900000066,815590.0
native_binned,20261202,0.0020804048355355636,174.0,173006.87000000034,810600.0
native_binned,20261203,0.002181613719426483,175.0,175556.8900000013,810823.0
native_binned,20261204,0.002119763845937588,175.0,176146.53000000096,813045.0
native_binned,20261205,0.0019117233623840316,175.0,177120.58000000706,811893.0
native_binned,20261206,0.002243463592915378,176.0,163174.66000000155,816738.0
native_binned,20261207,0.0021422547090244586,175.0,190292.26000000024,817779.0
native_binned,20261208,0.002029800393590104,175.0,182769.51,808319.0
native_binned,20261209,0.0019567050885577735,175.0,173873.14000000106,814736.0
digit,20261200,0.9999943772842282,0.0,0.0,56942.0
digit,20261201,0.9999943772842282,0.0,0.0,56942.0
digit,20261202,0.9999943772842282,0.0,0.0,56942.0
digit,20261203,0.9999943772842282,0.0,0.0,56942.0
digit,20261204,0.9999943772842282,0.0,0.0,56942.0
digit,20261205,0.9999943772842282,0.0,0.0,56942.0
digit,20261206,0.9999943772842282,0.0,0.0,56942.0
digit,20261207,0.9999943772842282,0.0,0.0,56942.0
digit,20261208,0.9999943772842282,0.0,0.0,56942.0
digit,20261209,0.9999943772842282,0.0,0.0,56942.0
