run,customers,events,minimum,p10,median,p90,maximum,customer_weighted_fraud_rate,all_fraud_customers,customers_with_any_fraud,short_customers_le_100,training_length_gap_low_exclusive,training_length_gap_high_exclusive,customers_in_training_length_gap
real_train,688,916567,7,496.0,1267.5,2553.0,3123,0.08208396640154747,52,533,52,15,471,0
real_validation,147,177997,7,499.6,1040.0,2089.8,3119,0.08938329506360405,12,114,12,15,471,1
codec_roundtrip,147,177997,7,499.6,1040.0,2089.8,3119,0.08938329506360405,12,114,12,15,471,1
digit_relaxed_20260928/generated_synthetic_20261011,147,190935,7,295.4000000000005,1097.0,2522.4,3106,0.09235242321313547,11,117,15,15,471,11
digit_relaxed_20260928/generated_synthetic_20261012,147,181504,7,41.80000000000001,1047.0,2496.6,3080,0.10471581043057028,12,108,19,15,471,12
digit_relaxed_20260928/generated_validation_20261011,147,194267,7,419.8,1073.0,2549.2,3106,0.07399141432499405,9,109,14,15,471,12
digit_relaxed_20260928/generated_validation_20261012,147,190450,7,49.2,1056.0,2550.8,3106,0.10775048515578269,11,111,19,15,471,11
digit_relaxed_20260929/generated_synthetic_20261011,147,182192,7,499.2,1049.0,2249.200000000002,3106,0.05619390222014729,7,89,10,15,471,7
digit_relaxed_20260929/generated_synthetic_20261012,147,178106,7,455.60000000000014,1037.0,2083.4,3106,0.07428647312283508,10,84,14,15,471,10
digit_relaxed_20260929/generated_validation_20261011,147,196919,7,463.6,1401.0,2552.4,3106,0.07701439110976585,9,89,10,15,471,11
digit_relaxed_20260929/generated_validation_20261012,147,181584,7,427.40000000000003,1045.0,2521.6,3106,0.0874564141898324,10,84,14,15,471,9
native_20260928/generated_synthetic_20261011,147,196276,7,19.400000000000013,1054.0,2551.4,3106,0.10790557612198476,12,107,21,15,471,6
native_20260928/generated_synthetic_20261012,147,184678,7,45.400000000000006,1045.0,2539.4,3106,0.09826608219584229,11,122,18,15,471,14
native_20260928/generated_validation_20261011,147,189389,7,31.0,1045.0,2548.0,3106,0.0671229486798971,6,113,19,15,471,9
native_20260928/generated_validation_20261012,147,184841,7,25.200000000000017,1046.0,2531.4,3106,0.11505454246637818,14,125,20,15,471,9
native_20260929/generated_synthetic_20261011,147,196396,7,23.400000000000006,1422.0,2553.4,3106,0.09923867970248544,10,106,21,15,471,10
native_20260929/generated_synthetic_20261012,147,187736,7,46.0,1105.0,2521.2,3106,0.0689282791751296,9,105,18,15,471,14
native_20260929/generated_validation_20261011,147,215719,7,503.6,1507.0,2568.2000000000003,3106,0.0564792485174362,6,107,11,15,471,6
native_20260929/generated_validation_20261012,147,186716,7,21.400000000000006,1075.0,2526.0,3106,0.11113541764878965,14,107,21,15,471,9
numeric_digit_relaxed_20260928/generated_synthetic_20261011,147,176368,7,38.800000000000004,1048.0,2500.4,3106,0.10932955278881448,13,84,22,15,471,19
numeric_digit_relaxed_20260928/generated_synthetic_20261012,147,187438,7,467.80000000000007,1042.0,2530.2,3106,0.09050980478747961,11,94,13,15,471,8
numeric_digit_relaxed_20260928/generated_validation_20261011,147,166146,7,38.00000000000002,1032.0,2233.4000000000015,3106,0.105537474958675,9,84,20,15,471,13
numeric_digit_relaxed_20260928/generated_validation_20261012,147,175666,7,431.8,1040.0,2492.4,3106,0.08581711351169931,11,86,14,15,471,8
numeric_digit_relaxed_20260929/generated_synthetic_20261011,147,181559,7,275.20000000000044,1048.0,2527.4,3106,0.08354042065239274,9,66,15,15,471,11
numeric_digit_relaxed_20260929/generated_synthetic_20261012,147,182617,7,157.6000000000001,1039.0,2530.2,3106,0.08885830833006161,10,87,14,15,471,9
numeric_digit_relaxed_20260929/generated_validation_20261011,147,199636,7,418.0,1512.0,2541.0,3106,0.06943755580754853,8,74,13,15,471,8
numeric_digit_relaxed_20260929/generated_validation_20261012,147,204133,7,502.6,1052.0,2587.8,3106,0.07977993226103249,9,79,11,15,471,1
order_category_digit_relaxed_20260928/generated_validation_20261011,147,194267,7,419.8,1073.0,2549.2,3106,0.07286485738932375,8,110,14,15,471,12
order_category_digit_relaxed_20260928/generated_validation_20261012,147,190450,7,49.2,1056.0,2550.8,3106,0.1063132529797968,14,118,19,15,471,11
order_category_digit_relaxed_20260929/generated_validation_20261011,147,196919,7,463.6,1401.0,2552.4,3106,0.07232518298406053,9,90,10,15,471,11
order_category_digit_relaxed_20260929/generated_validation_20261012,147,181584,7,427.40000000000003,1045.0,2521.6,3106,0.05784982020134107,6,80,14,15,471,9
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,147,166146,7,38.00000000000002,1032.0,2233.4000000000015,3106,0.11129598933827957,13,75,20,15,471,13
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,147,175666,7,431.8,1040.0,2492.4,3106,0.10267285960040642,12,87,14,15,471,8
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,147,199636,7,418.0,1512.0,2541.0,3106,0.08598553743673178,8,79,13,15,471,8
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,147,204133,7,502.6,1052.0,2587.8,3106,0.09775164817633815,10,87,11,15,471,1
order_category_relaxed_20260928/generated_validation_20261011,147,193361,7,78.00000000000007,1044.0,2552.0,3106,0.09192550092576782,10,122,16,15,471,8
order_category_relaxed_20260928/generated_validation_20261012,147,193625,7,375.40000000000043,1079.0,2539.2,3106,0.0896273272225648,10,120,14,15,471,6
order_category_relaxed_20260929/generated_validation_20261011,147,213945,7,502.6,1513.0,2722.600000000002,3106,0.061221556994933396,6,95,11,15,471,8
order_category_relaxed_20260929/generated_validation_20261012,147,201587,7,136.8000000000002,1513.0,2553.2,3106,0.09514375972908173,13,98,15,15,471,8
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,147,193361,7,78.00000000000007,1044.0,2552.0,3106,0.06710321973899097,5,93,16,15,471,8
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,147,193625,7,375.40000000000043,1079.0,2539.2,3106,0.07110545446992282,6,95,14,15,471,6
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,147,213945,7,502.6,1513.0,2722.600000000002,3106,0.06320749191972967,7,82,11,15,471,8
order_event_is_fraud_relaxed_20260929/generated_validation_20261012,147,201587,7,136.8000000000002,1513.0,2553.2,3106,0.09138413307271348,11,77,15,15,471,8
relaxed_20260928/generated_synthetic_20261011,147,201203,7,27.200000000000003,1109.0,2564.2,3106,0.08881955649178354,11,108,18,15,471,5
relaxed_20260928/generated_synthetic_20261012,147,197948,7,500.2,1109.0,2547.0,3106,0.07573879971340561,10,119,11,15,471,7
relaxed_20260928/generated_validation_20261011,147,193361,7,78.00000000000007,1044.0,2552.0,3106,0.06269216596671902,7,109,16,15,471,8
relaxed_20260928/generated_validation_20261012,147,193625,7,375.40000000000043,1079.0,2539.2,3106,0.0898123311119993,12,122,14,15,471,6
relaxed_20260929/generated_synthetic_20261011,147,202207,7,67.40000000000009,1517.0,2571.0,3106,0.10466310403634631,11,93,16,15,471,7
relaxed_20260929/generated_synthetic_20261012,147,180552,7,28.20000000000001,1049.0,2532.0,3106,0.09341722190844876,12,92,17,15,471,9
relaxed_20260929/generated_validation_20261011,147,213945,7,502.6,1513.0,2722.600000000002,3106,0.05860230635887896,6,93,11,15,471,8
relaxed_20260929/generated_validation_20261012,147,201587,7,136.8000000000002,1513.0,2553.2,3106,0.10165349820497178,14,91,15,15,471,8
row_resampling/generated_validation_20261011,147,194397,8,505.2,1047.0,2521.8,3106,0.005710720637907079,0,137,9,15,471,0
row_resampling/generated_validation_20261012,147,191268,9,499.0,1058.0,2523.4,3101,0.00595010890320431,0,136,11,15,471,0
transition_resampling/generated_validation_20261011,147,191031,7,12.0,1047.0,2566.0,3112,0.016438538980973274,1,72,17,15,471,0
transition_resampling/generated_validation_20261012,147,195297,7,497.4,1510.0,2525.8,3123,0.0049387721993666405,0,74,11,15,471,0
