run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
real_train,0,147,688,147,688,0.7052879291251384,0.0,0.0,12,0.08163265306122448,52,0.0755813953488372
real_train,1,4305,20171,147,688,0.1737084973419194,0.0,0.0,143,0.03321718931475029,651,0.03227405681423826
real_train,2,9180,43248,135,636,0.12071155506227649,0.0,0.0,81,0.008823529411764706,478,0.011052534221235664
real_train,3,53970,254200,135,636,0.053952103093087095,0.0,0.0,473,0.008764128219381138,1732,0.006813532651455547
real_train,4,110395,598260,131,614,0.04019037108970242,0.0,0.0,437,0.003958512613795914,2301,0.0038461538461538464
real_validation,0,147,147,147,147,0.0,0.0,0.0,12,0.08163265306122448,12,0.08163265306122448
real_validation,1,4305,4305,147,147,0.0,0.0,0.0,143,0.03321718931475029,143,0.03321718931475029
real_validation,2,9180,9180,135,135,0.0,0.0,0.0,81,0.008823529411764706,81,0.008823529411764706
real_validation,3,53970,53970,135,135,0.0,0.0,0.0,473,0.008764128219381138,473,0.008764128219381138
real_validation,4,110395,110395,131,131,0.0,0.0,0.0,437,0.003958512613795914,437,0.003958512613795914
codec_roundtrip,0,147,147,147,147,0.0,0.0,0.0,12,0.08163265306122448,12,0.08163265306122448
codec_roundtrip,1,4305,4305,147,147,0.0,0.0,0.0,143,0.03321718931475029,143,0.03321718931475029
codec_roundtrip,2,9180,9180,135,135,0.0,0.0,0.0,81,0.008823529411764706,81,0.008823529411764706
codec_roundtrip,3,53970,53970,135,135,0.0,0.0,0.0,473,0.008764128219381138,473,0.008764128219381138
codec_roundtrip,4,110395,110395,131,131,0.0,0.0,0.0,437,0.003958512613795914,437,0.003958512613795914
digit_relaxed_20260928/generated_synthetic_20261011,0,147,147,147,147,0.9115646258503398,0.0,0.782312925170068,12,0.08163265306122448,72,0.4897959183673469
digit_relaxed_20260928/generated_synthetic_20261011,1,4305,4380,147,147,0.8345202297424148,0.0,0.8292237442922374,143,0.03321718931475029,1013,0.2312785388127854
digit_relaxed_20260928/generated_synthetic_20261011,2,9180,9078,135,137,0.8538579226946708,0.0,0.8533818021590659,81,0.008823529411764706,241,0.026547697730777704
digit_relaxed_20260928/generated_synthetic_20261011,3,53970,52659,135,132,0.854934579084297,0.0,0.854934579084297,473,0.008764128219381138,182,0.0034561993201541997
digit_relaxed_20260928/generated_synthetic_20261011,4,110395,124671,131,127,0.8537109672658437,0.0,0.8537109672658437,437,0.003958512613795914,614,0.004924962501303431
digit_relaxed_20260928/generated_synthetic_20261012,0,147,147,147,147,0.9251700680272106,0.0,0.7959183673469388,12,0.08163265306122448,64,0.43537414965986393
digit_relaxed_20260928/generated_synthetic_20261012,1,4305,4313,147,147,0.8307356443111646,0.0,0.8263389751912822,143,0.03321718931475029,890,0.20635288662184095
digit_relaxed_20260928/generated_synthetic_20261012,2,9180,8862,135,134,0.8481350939533264,0.0,0.8480027081922816,81,0.008823529411764706,241,0.027194764161588805
digit_relaxed_20260928/generated_synthetic_20261012,3,53970,51007,135,128,0.8530397788538828,0.0,0.8530397788538828,473,0.008764128219381138,247,0.004842472601799753
digit_relaxed_20260928/generated_synthetic_20261012,4,110395,117175,131,124,0.8543545978237679,0.0,0.8543545978237679,437,0.003958512613795914,379,0.0032344783443567313
digit_relaxed_20260928/generated_validation_20261011,0,147,147,147,147,0.9115646258503398,0.0,0.782312925170068,12,0.08163265306122448,58,0.3945578231292517
digit_relaxed_20260928/generated_validation_20261011,1,4305,4419,147,147,0.848023856438739,0.0,0.8449875537451912,143,0.03321718931475029,630,0.1425661914460285
digit_relaxed_20260928/generated_validation_20261011,2,9180,9139,135,139,0.8501106011941927,0.0,0.8495459021774812,81,0.008823529411764706,239,0.0261516577306051
digit_relaxed_20260928/generated_validation_20261011,3,53970,52947,135,133,0.8551948174589685,0.0,0.8551948174589684,473,0.008764128219381138,149,0.002814134889606588
digit_relaxed_20260928/generated_validation_20261011,4,110395,127615,131,127,0.8543588136190887,0.0,0.8543588136190887,437,0.003958512613795914,391,0.003063903146181875
digit_relaxed_20260928/generated_validation_20261012,0,147,147,147,147,0.9183673469387752,0.0,0.7755102040816326,12,0.08163265306122448,55,0.3741496598639456
digit_relaxed_20260928/generated_validation_20261012,1,4305,4328,147,147,0.8433049199121514,0.0,0.8380314232902033,143,0.03321718931475029,741,0.17121072088724584
digit_relaxed_20260928/generated_validation_20261012,2,9180,8898,135,136,0.8513874014429328,0.0,0.8513149022252191,81,0.008823529411764706,308,0.034614520116880196
digit_relaxed_20260928/generated_validation_20261012,3,53970,51127,135,128,0.8543431063821465,0.0,0.8543431063821464,473,0.008764128219381138,140,0.002738279187122264
digit_relaxed_20260928/generated_validation_20261012,4,110395,125950,131,126,0.8536720921000397,0.0,0.8536720921000397,437,0.003958512613795914,507,0.004025406907502978
digit_relaxed_20260929/generated_synthetic_20261011,0,147,147,147,147,0.8911564625850337,0.0,0.5986394557823129,12,0.08163265306122448,51,0.3469387755102041
digit_relaxed_20260929/generated_synthetic_20261011,1,4305,4404,147,147,0.674832825401045,0.0,0.6439600363306085,143,0.03321718931475029,823,0.1868755676657584
digit_relaxed_20260929/generated_synthetic_20261011,2,9180,9332,135,139,0.6696721380365261,0.0,0.6608444063437634,81,0.008823529411764706,340,0.036433776253750536
digit_relaxed_20260929/generated_synthetic_20261011,3,53970,54375,135,137,0.6598927475672948,0.0,0.658464367816092,473,0.008764128219381138,117,0.0021517241379310345
digit_relaxed_20260929/generated_synthetic_20261011,4,110395,113934,131,131,0.6565520208519621,0.0,0.6554672003089508,437,0.003958512613795914,250,0.0021942528130321063
digit_relaxed_20260929/generated_synthetic_20261012,0,147,147,147,147,0.8639455782312923,0.0,0.5850340136054422,12,0.08163265306122448,39,0.2653061224489796
digit_relaxed_20260929/generated_synthetic_20261012,1,4305,4381,147,147,0.6781876443018514,0.0,0.6493951152704862,143,0.03321718931475029,698,0.1593243551700525
digit_relaxed_20260929/generated_synthetic_20261012,2,9180,9165,135,135,0.6622614093828112,0.0,0.6534642662302237,81,0.008823529411764706,126,0.013747954173486088
digit_relaxed_20260929/generated_synthetic_20261012,3,53970,53068,135,133,0.660588672950318,0.0,0.6585512926810884,473,0.008764128219381138,79,0.001488656063917992
digit_relaxed_20260929/generated_synthetic_20261012,4,110395,111345,131,126,0.6598737170371951,0.0,0.6582334186537339,437,0.003958512613795914,74,0.0006646010148637118
digit_relaxed_20260929/generated_validation_20261011,0,147,147,147,147,0.8775510204081629,0.0,0.6122448979591837,12,0.08163265306122448,47,0.3197278911564626
digit_relaxed_20260929/generated_validation_20261011,1,4305,4427,147,147,0.6696431752468159,0.0,0.6408402981703185,143,0.03321718931475029,877,0.19810255251863565
