run,intervention,field,group,events,nll,accuracy,mean_fraud_probability,mean_true_probability
relaxed_20260928,teacher,gap,all,68939,4.419815465432462,0.04102177287166916,,0.01608856052775618
relaxed_20260928,teacher,gap,first,0,,,,
relaxed_20260928,teacher,gap,positions_1_99,13485,4.339160613152642,0.05799035965888024,,0.01980373298540807
relaxed_20260928,teacher,gap,positions_100_511,55454,4.439428670665509,0.03689544487322826,,0.015185125237399568
relaxed_20260928,teacher,gap,fraud,714,4.670583482383012,0.025210084033613446,,0.014642094607254212
relaxed_20260928,teacher,gap,normal,68225,4.417191084866648,0.041187248076218395,,0.01610369833159991
relaxed_20260928,teacher,gap,fraud_onset,58,3.9924088963146867,0.06896551724137931,,0.025434520047414918
relaxed_20260928,teacher,gap,fraud_continuation,656,4.730544040297589,0.021341463414634148,,0.013687886260410734
relaxed_20260928,teacher,receiver_or_mark,all,69086,6.535749782249192,0.0023304287409894914,,0.0016096014102100875
relaxed_20260928,teacher,receiver_or_mark,first,147,6.6983205169236575,0.0,,0.003317914514914852
relaxed_20260928,teacher,receiver_or_mark,positions_1_99,13485,6.544392239954633,0.0025954764553207266,,0.0016671671628572114
relaxed_20260928,teacher,receiver_or_mark,positions_100_511,55454,6.53321720677844,0.0022721534965917697,,0.0015910744112408867
relaxed_20260928,teacher,receiver_or_mark,fraud,726,6.609627599394354,0.008264462809917356,,0.003518404254154281
relaxed_20260928,teacher,receiver_or_mark,normal,68360,6.534965181675063,0.002267407840842598,,0.0015893294549043022
relaxed_20260928,teacher,receiver_or_mark,fraud_onset,58,6.489987250032096,0.0,,0.001647482393309474
relaxed_20260928,teacher,receiver_or_mark,fraud_continuation,656,6.626967730863792,0.009146341463414634,,0.0036157251549125617
relaxed_20260928,teacher,amount_or_numeric_value,all,69086,4.492461716217431,0.026112381669223864,,0.013642946948693902
relaxed_20260928,teacher,amount_or_numeric_value,first,147,4.600858291192931,0.034013605442176874,,0.02660944340291249
relaxed_20260928,teacher,amount_or_numeric_value,positions_1_99,13485,4.474337212917901,0.026992955135335558,,0.016462504868859702
relaxed_20260928,teacher,amount_or_numeric_value,positions_100_511,55454,4.4965817910627575,0.025877303711184043,,0.012922930114340998
relaxed_20260928,teacher,amount_or_numeric_value,fraud,726,2.5050976403909364,0.4834710743801653,,0.21926159240780485
relaxed_20260928,teacher,amount_or_numeric_value,normal,68360,4.513568011112838,0.021255119953189,,0.011459226401541846
relaxed_20260928,teacher,amount_or_numeric_value,fraud_onset,58,4.530060061093034,0.017241379310344827,,0.011117374227414357
relaxed_20260928,teacher,amount_or_numeric_value,fraud_continuation,656,2.321386374607001,0.5259146341463414,,0.23801374884243248
relaxed_20260928,teacher,category,all,69086,1.2213899483376611,0.6391164635381987,,0.3884574115765906
relaxed_20260928,teacher,category,first,147,1.3818462530569153,0.5306122448979592,,0.40414931464838943
relaxed_20260928,teacher,category,positions_1_99,13485,1.2231303007039078,0.6407119021134594,,0.3903497903342927
relaxed_20260928,teacher,category,positions_100_511,55454,1.2205413940683105,0.6390161214700473,,0.38795563646029296
relaxed_20260928,teacher,category,fraud,726,1.0086349830718984,0.7011019283746557,,0.4925421514085266
relaxed_20260928,teacher,category,normal,68360,1.2236494583549657,0.6384581626682271,,0.38735200605994363
relaxed_20260928,teacher,category,fraud_onset,58,1.3042882896702865,0.6206896551724138,,0.3837902819063386
relaxed_20260928,teacher,category,fraud_continuation,656,0.9838358017150313,0.7088414634146342,,0.5007071801704048
relaxed_20260928,teacher,event_is_fraud,all,69086,0.010754653672423464,0.9973656022927945,0.009989740664713006,0.9957525148949202
relaxed_20260928,teacher,event_is_fraud,first,147,0.3746779115591832,0.8367346938775511,0.3348412975402815,0.7270816646668375
relaxed_20260928,teacher,event_is_fraud,positions_1_99,13485,0.00954058580704873,0.9977753058954394,0.015667162131208577,0.9964123384416054
relaxed_20260928,teacher,event_is_fraud,positions_100_511,55454,0.010085179626461487,0.9976917805748909,0.007748005039935688,0.99630426759908
relaxed_20260928,teacher,event_is_fraud,fraud,726,0.7880881005121109,0.8209366391184573,0.7761589304996864,0.7761589304996864
relaxed_20260928,teacher,event_is_fraud,normal,68360,0.0024991814312647,0.9992393212404915,0.0018528355766470204,0.9980846527280235
relaxed_20260928,teacher,event_is_fraud,fraud_onset,58,5.959413869627591,0.0,0.007134669828670228,0.007134669828670228
relaxed_20260928,teacher,event_is_fraud,fraud_continuation,656,0.3438334407202929,0.8902439024390244,0.8414031890308429,0.8414031890308429
relaxed_20260928,shuffle_current_merchant,gap,all,68939,4.419815465432462,0.04102177287166916,,0.01608856052775618
relaxed_20260928,shuffle_current_merchant,gap,first,0,,,,
