epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.01,0,1,8,37.9453,0.2,0.0005,
1.0,1,77,616,33.7889,14.7,0.0005,32.2108
2.0,1,154,1227,31.8693,28.9,0.0005,31.818
3.0,1,231,1838,31.5106,42.9,0.0005,31.5714
4.0,0,308,2449,31.1586,56.9,0.0005,31.6354
5.0,1,385,3060,31.0314,71.1,0.0005,31.4773
6.0,1,462,3671,30.6773,85.3,0.0005,31.3096
7.0,1,539,4282,30.5034,99.5,0.0005,31.167
8.0,1,616,4893,29.9438,113.6,0.0005,30.9288
9.0,1,693,5504,29.7497,127.9,0.0005,30.7168
10.0,0,770,6115,29.4664,142.0,0.0005,30.7604
11.0,0,847,6726,29.2717,155.9,0.0005,30.7774
12.0,1,924,7337,29.0519,170.2,0.0005,30.6046
13.0,1,1001,7948,28.7977,184.3,0.0005,30.3556
14.0,0,1078,8559,28.6593,198.3,0.0005,30.3916
15.0,1,1155,9170,28.4221,212.3,0.0005,30.1936
16.0,1,1232,9781,28.1256,226.1,0.0005,30.1289
17.0,1,1309,10392,28.0029,239.9,0.0005,29.9932
18.0,1,1386,11003,27.9071,253.6,0.0005,29.9477
19.0,0,1463,11614,27.6076,267.0,0.0005,30.0378
20.0,0,1540,12225,27.4557,280.5,0.0005,30.016
21.0,0,1617,12836,27.1454,294.2,0.0005,30.0478
22.0,0,1694,13447,27.3011,308.2,0.00025,30.2188
23.0,0,1771,14058,26.8141,321.8,0.00025,30.0698
