epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.01,0,1,8,28.2232,0.2,0.0005,
1.0,1,77,616,26.3815,10.9,0.0005,25.2932
2.0,1,154,1227,24.7381,21.6,0.0005,24.6426
3.0,1,231,1838,24.3901,32.4,0.0005,24.5799
4.0,1,308,2449,24.0824,43.9,0.0005,24.3926
5.0,1,385,3060,23.7297,55.1,0.0005,24.2051
6.0,1,462,3671,23.4546,66.3,0.0005,23.7729
7.0,1,539,4282,23.0834,77.7,0.0005,23.6567
8.0,1,616,4893,22.7321,89.3,0.0005,23.5886
9.0,1,693,5504,22.4868,101.2,0.0005,23.4001
10.0,1,770,6115,22.0584,113.1,0.0005,23.1546
11.0,1,847,6726,21.9618,125.7,0.0005,23.0509
12.0,0,924,7337,21.6252,138.5,0.0005,23.2954
13.0,1,1001,7948,21.5664,150.8,0.0005,22.9052
14.0,1,1078,8559,21.2345,163.5,0.0005,22.8415
