epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.01,0,1,8,48.7512,0.3,0.0005,
1.0,1,77,616,39.7767,18.4,0.0005,37.7114
2.0,1,154,1227,37.6883,35.9,0.0005,37.1224
3.0,1,231,1838,37.0965,53.6,0.0005,36.8003
4.0,1,308,2449,36.7416,71.2,0.0005,36.7969
5.0,1,385,3060,36.4829,89.0,0.0005,36.5779
6.0,1,462,3671,36.1361,106.9,0.0005,36.5157
7.0,1,539,4282,35.8261,124.9,0.0005,36.3347
8.0,1,616,4893,35.5753,142.7,0.0005,36.0599
9.0,1,693,5504,35.2465,160.1,0.0005,36.0368
10.0,1,770,6115,34.9289,178.1,0.0005,35.816
11.0,1,847,6726,34.6838,196.5,0.0005,35.583
12.0,0,924,7337,34.171,214.8,0.0005,35.8223
13.0,1,1001,7948,34.1596,233.1,0.0005,35.5528
14.0,1,1078,8559,33.8344,251.5,0.0005,35.517
15.0,1,1155,9170,33.5182,269.6,0.0005,35.356
16.0,1,1232,9781,33.2925,287.5,0.0005,35.0796
17.0,0,1309,10392,33.2817,304.9,0.0005,35.502
18.0,0,1386,11003,32.9335,322.7,0.0005,35.3998
19.0,0,1463,11614,32.7956,340.3,0.0005,35.5138
20.0,0,1540,12225,32.613,358.5,0.00025,35.1158
21.0,0,1617,12836,32.3224,376.9,0.00025,35.3565
