run,condition,events,customers,frauds,fraud_rate,ci_low,ci_high,bootstrap_nonempty,adequate_support
real_train,all,916567,688,5214,0.0056886185079759585,0.005296225320685302,0.006069261323193411,500,True
real_train,positive_gap_le_5s,248,181,8,0.03225806451612903,0.012625013299287158,0.05428365221329104,500,False
real_train,positive_gap_le_300s,14644,643,359,0.024515159792406448,0.020932961570048876,0.027805456127026843,500,True
real_train,seen_merchant,579699,644,2497,0.0043074078099151454,0.0039700544804853735,0.004628731837459275,500,True
real_train,new_merchant,336868,688,2717,0.008065473716708028,0.0073762682759591375,0.008801239926715726,500,True
real_train,amount_gt_3x_prior20median,143742,657,3479,0.024203086084790805,0.022363352029912194,0.02601918537409481,500,True
real_train,previous_fraud,5158,533,4681,0.9075222954633579,0.9045482157507762,0.9111939353186016,500,True
real_train,previous_normal,910721,636,481,0.0005281529689114449,0.0004956202634367903,0.000558158313502765,500,True
real_train,short_seen,10256,567,181,0.01764820592823713,0.01450059478623603,0.020687784289052963,500,True
real_train,short_new,4388,630,178,0.04056517775752051,0.03341358839841295,0.04764764938684122,500,True
real_train,first_transaction,688,688,52,0.0755813953488372,0.056686046511627904,0.09593023255813954,500,True
real_train,short_sequence_le_100_RETROSPECTIVE,507,52,507,1.0,1.0,1.0,500,True
real_train,long_sequence_gt_100_RETROSPECTIVE,916060,636,4707,0.005138309717704081,0.004791384346397673,0.005472554579061274,500,True
real_validation,all,174879,143,1115,0.0063758370073021915,0.005423013380736547,0.0075513068372926725,500,True
real_validation,positive_gap_le_5s,43,32,1,0.023255813953488372,0.0,0.08163265306122448,500,False
real_validation,positive_gap_le_300s,2586,136,65,0.025135344160866203,0.016612774385770065,0.035050357898761084,500,True
real_validation,seen_merchant,107836,135,498,0.004618123817649022,0.0037756681470820404,0.005440418093323582,500,True
real_validation,new_merchant,67043,143,617,0.009203048789582806,0.007413967879206704,0.011223755508060844,500,True
real_validation,amount_gt_3x_prior20median,27432,140,740,0.026975794692330125,0.02272086086088077,0.0316114801895944,500,True
real_validation,previous_fraud,1103,111,1004,0.9102447869446962,0.9026773939537545,0.918261938534279,500,True
real_validation,previous_normal,173633,132,100,0.0005759273870750376,0.0004978166153102682,0.000656557759833647,500,True
real_validation,short_seen,1799,108,30,0.016675931072818232,0.009950057066721089,0.02380749197056734,500,True
real_validation,short_new,787,130,35,0.044472681067344345,0.02556967984934087,0.06654497977918562,500,True
real_validation,first_transaction,143,143,11,0.07692307692307693,0.03496503496503497,0.1258741258741259,500,False
real_validation,short_sequence_le_100_RETROSPECTIVE,123,11,123,1.0,1.0,1.0,500,True
real_validation,long_sequence_gt_100_RETROSPECTIVE,174756,132,992,0.005676486072008972,0.004880959317449345,0.006576852489325497,500,True
codec_roundtrip,all,174879,143,1115,0.0063758370073021915,0.005423013380736547,0.0075513068372926725,500,True
codec_roundtrip,positive_gap_le_5s,38,30,0,0.0,0.0,0.0,500,False
codec_roundtrip,positive_gap_le_300s,2546,135,64,0.02513747054202671,0.016460891901804265,0.03564765178376627,500,True
codec_roundtrip,seen_merchant,107836,135,498,0.004618123817649022,0.0037756681470820404,0.005440418093323582,500,True
codec_roundtrip,new_merchant,67043,143,617,0.009203048789582806,0.007413967879206704,0.011223755508060844,500,True
codec_roundtrip,amount_gt_3x_prior20median,27505,142,747,0.02715869841846937,0.022761594288929255,0.03194189802896649,500,True
codec_roundtrip,previous_fraud,1103,111,1004,0.9102447869446962,0.9026773939537545,0.918261938534279,500,True
codec_roundtrip,previous_normal,173633,132,100,0.0005759273870750376,0.0004978166153102682,0.000656557759833647,500,True
codec_roundtrip,short_seen,1773,108,29,0.016356457980823462,0.00966334579681603,0.023815997139404698,500,True
codec_roundtrip,short_new,773,128,35,0.045278137128072445,0.026758111972152002,0.06851405748133316,500,True
codec_roundtrip,first_transaction,143,143,11,0.07692307692307693,0.03496503496503497,0.1258741258741259,500,False
codec_roundtrip,short_sequence_le_100_RETROSPECTIVE,123,11,123,1.0,1.0,1.0,500,True
codec_roundtrip,long_sequence_gt_100_RETROSPECTIVE,174756,132,992,0.005676486072008972,0.004880959317449345,0.006576852489325497,500,True
cpar_20260928/generated_supported_validation_20261011,all,17883,143,248,0.01386791925292177,0.012391683477086636,0.015855185736896003,500,True
cpar_20260928/generated_supported_validation_20261011,positive_gap_le_5s,0,0,0,,,,0,False
cpar_20260928/generated_supported_validation_20261011,positive_gap_le_300s,24,21,0,0.0,0.0,0.0,500,False
cpar_20260928/generated_supported_validation_20261011,seen_merchant,2933,117,35,0.011933174224343675,0.007843120397626711,0.01585766914103215,500,True
cpar_20260928/generated_supported_validation_20261011,new_merchant,14950,143,213,0.014247491638795986,0.012404988612923612,0.016325361768220824,500,True
cpar_20260928/generated_supported_validation_20261011,amount_gt_3x_prior20median,1567,103,24,0.015315890236119975,0.008704836446549154,0.022578286631688704,500,True
cpar_20260928/generated_supported_validation_20261011,previous_fraud,243,96,7,0.02880658436213992,0.008713689007024872,0.054276395557495485,500,False
cpar_20260928/generated_supported_validation_20261011,previous_normal,17497,143,217,0.012402126078756359,0.01087702899824253,0.014190946430210264,500,True
cpar_20260928/generated_supported_validation_20261011,short_seen,5,5,0,0.0,0.0,0.0,498,False
cpar_20260928/generated_supported_validation_20261011,short_new,19,18,0,0.0,0.0,0.0,500,False
cpar_20260928/generated_supported_validation_20261011,first_transaction,143,143,24,0.16783216783216784,0.11188811188811189,0.2274475524475523,500,True
cpar_20260928/generated_supported_validation_20261011,short_sequence_le_100_RETROSPECTIVE,4174,86,69,0.016530905606133205,0.012593276153927167,0.02100973236009732,500,True
cpar_20260928/generated_supported_validation_20261011,long_sequence_gt_100_RETROSPECTIVE,13709,57,179,0.013057115763367131,0.011303983634610876,0.015314508140530737,500,True
cpar_20260928/generated_supported_validation_20261012,all,17486,143,252,0.014411529223378704,0.012668753422629214,0.01632124847181933,500,True
cpar_20260928/generated_supported_validation_20261012,positive_gap_le_5s,0,0,0,,,,0,False
cpar_20260928/generated_supported_validation_20261012,positive_gap_le_300s,21,20,0,0.0,0.0,0.0,500,False
cpar_20260928/generated_supported_validation_20261012,seen_merchant,2805,115,32,0.01140819964349376,0.007659798406266649,0.015280955912492657,500,True
cpar_20260928/generated_supported_validation_20261012,new_merchant,14681,143,220,0.01498535522103399,0.013116859456394942,0.01727702053382245,500,True
cpar_20260928/generated_supported_validation_20261012,amount_gt_3x_prior20median,1500,100,21,0.014,0.008260450131616873,0.01885989305506224,500,True
cpar_20260928/generated_supported_validation_20261012,previous_fraud,247,102,5,0.020242914979757085,0.004235796882855707,0.03877723202352312,500,False
cpar_20260928/generated_supported_validation_20261012,previous_normal,17096,143,221,0.012927000467945718,0.011297671590855653,0.014650636422765734,500,True
cpar_20260928/generated_supported_validation_20261012,short_seen,5,5,0,0.0,0.0,0.0,499,False
cpar_20260928/generated_supported_validation_20261012,short_new,16,16,0,0.0,0.0,0.0,500,False
cpar_20260928/generated_supported_validation_20261012,first_transaction,143,143,26,0.18181818181818182,0.11888111888111888,0.2517482517482518,500,True
