run,age_band,events,valid_ratio_events,real_valid_ratio_events,valid_event_share,real_valid_event_share,amount_mean,ratio_median,ratio_log_w1
real_train,0,533,476,100,0.09631728045325778,0.09433962264150944,403.4414075630252,7.132480333837616,0.17839561915423918
real_train,1,2087,1872,399,0.37879401052205586,0.37641509433962267,524.0941773504273,10.322888065765733,0.0672556796179839
real_train,2,2026,2026,427,0.40995548360987455,0.4028301886792453,565.4160661401777,6.7333935907628035,0.060088202533827864
real_train,3,568,568,134,0.11493322541481182,0.12641509433962264,582.9113556338028,3.6618770401020724,0.21438442356326254
real_train,4,0,0,0,0.0,0.0,,,
real_validation,0,111,100,100,0.09433962264150944,0.09433962264150944,455.7239,8.795455353435568,0.0
real_validation,1,443,399,399,0.37641509433962267,0.37641509433962267,509.16426065162915,9.965976568769058,0.0
real_validation,2,427,427,427,0.4028301886792453,0.4028301886792453,565.8982201405153,6.435523373442658,0.0
real_validation,3,134,134,134,0.12641509433962264,0.12641509433962264,473.23231343283584,2.719674726931187,0.0
real_validation,4,0,0,0,0.0,0.0,,,
digit_relaxed_20260928/generated_validation_20261011,0,241,180,100,0.14411529223378702,0.09433962264150944,353.79988888888886,0.967277262169217,1.312049256344829
digit_relaxed_20260928/generated_validation_20261011,1,255,114,399,0.09127301841473179,0.37641509433962267,1389.2038596491227,0.9977954154129154,1.1134229493546606
digit_relaxed_20260928/generated_validation_20261011,2,256,256,427,0.20496397117694154,0.4028301886792453,2421.089375,1.151974741029552,0.935327844080714
digit_relaxed_20260928/generated_validation_20261011,3,299,299,134,0.23939151321056845,0.12641509433962264,2755.374548494983,1.1173289442746297,0.6159607230331539
digit_relaxed_20260928/generated_validation_20261011,4,400,400,0,0.32025620496397117,0.0,2214.11935,0.772324871095001,
digit_relaxed_20260928/generated_validation_20261012,0,222,168,100,0.10980392156862745,0.09433962264150944,446.11017857142855,0.8449539980920733,1.2846187353721255
digit_relaxed_20260928/generated_validation_20261012,1,267,118,399,0.07712418300653595,0.37641509433962267,2205.4979661016946,1.989657365590257,1.000709651439112
digit_relaxed_20260928/generated_validation_20261012,2,283,283,427,0.18496732026143792,0.4028301886792453,2564.6478091872796,1.4870610343342598,0.799728390932797
digit_relaxed_20260928/generated_validation_20261012,3,374,374,134,0.24444444444444444,0.12641509433962264,2318.1466844919787,0.9823188007429446,0.5829988582508118
digit_relaxed_20260928/generated_validation_20261012,4,587,587,0,0.3836601307189543,0.0,2810.1006132879047,0.9067559057062767,
digit_relaxed_20260929/generated_validation_20261011,0,129,82,100,0.05021432945499082,0.09433962264150944,424.3925609756098,1.1826380124593396,1.2357330644388207
digit_relaxed_20260929/generated_validation_20261011,1,207,68,399,0.041641151255358236,0.37641509433962267,1537.0276470588235,1.6563604728974282,0.9556254715563915
digit_relaxed_20260929/generated_validation_20261011,2,232,232,427,0.14206981016533987,0.4028301886792453,3619.237844827586,3.7656759093526677,0.7266921883749831
digit_relaxed_20260929/generated_validation_20261011,3,333,333,134,0.2039191671769749,0.12641509433962264,3100.0766366366365,1.0231854645708487,0.49747145606924204
digit_relaxed_20260929/generated_validation_20261011,4,918,918,0,0.5621555419473362,0.0,3626.619793028322,0.8881107243832758,
digit_relaxed_20260929/generated_validation_20261012,0,116,78,100,0.06678082191780822,0.09433962264150944,407.2025641025641,1.6270098732693663,1.2226024466991539
digit_relaxed_20260929/generated_validation_20261012,1,206,71,399,0.06078767123287671,0.37641509433962267,2524.871549295775,3.8765272271219353,0.9096977236894808
digit_relaxed_20260929/generated_validation_20261012,2,228,228,427,0.1952054794520548,0.4028301886792453,3584.7679385964907,2.4738761061593557,0.819285362850533
digit_relaxed_20260929/generated_validation_20261012,3,267,267,134,0.2285958904109589,0.12641509433962264,3232.2741947565546,1.1830299809574418,0.5516618946345669
digit_relaxed_20260929/generated_validation_20261012,4,524,524,0,0.4486301369863014,0.0,3125.6387786259547,0.9689576954090932,
native_20260928/generated_validation_20261011,0,275,202,100,0.19479267116682739,0.09433962264150944,519.8013861386139,0.7167817851986633,1.4138102268784312
native_20260928/generated_validation_20261011,1,333,155,399,0.14946962391513982,0.37641509433962267,2054.808580645161,0.7138696114685174,1.1239549553013988
native_20260928/generated_validation_20261011,2,281,281,427,0.2709739633558341,0.4028301886792453,3238.3789323843416,1.4007029876977153,0.9670158094611017
native_20260928/generated_validation_20261011,3,169,169,134,0.16297010607521698,0.12641509433962264,3662.2611242603552,0.7601047887454956,0.5490654499339865
native_20260928/generated_validation_20261011,4,230,230,0,0.22179363548698167,0.0,4504.425043478261,0.6719676896208324,
native_20260928/generated_validation_20261012,0,249,179,100,0.22431077694235588,0.09433962264150944,352.6341340782123,0.8037967615857063,1.3739451288958926
native_20260928/generated_validation_20261012,1,279,91,399,0.11403508771929824,0.37641509433962267,2302.8337362637362,1.6863643304321272,1.0855318434581327
native_20260928/generated_validation_20261012,2,236,236,427,0.2957393483709273,0.4028301886792453,3548.9340254237286,1.3468208278577356,0.8840458257037596
native_20260928/generated_validation_20261012,3,192,192,134,0.24060150375939848,0.12641509433962264,3704.3448958333333,0.6248764481725164,0.644104394273272
native_20260928/generated_validation_20261012,4,100,100,0,0.12531328320802004,0.0,3851.7823000000003,0.5737789348302014,
native_20260929/generated_validation_20261011,0,211,153,100,0.21982758620689655,0.09433962264150944,373.22254901960787,1.0895343254920788,1.3402395396777829
native_20260929/generated_validation_20261011,1,205,39,399,0.05603448275862069,0.37641509433962267,1099.9776923076922,1.8978413431642533,0.9503572955237346
native_20260929/generated_validation_20261011,2,207,207,427,0.2974137931034483,0.4028301886792453,4411.259082125604,1.9765479257350982,0.7720332867107864
native_20260929/generated_validation_20261011,3,198,198,134,0.28448275862068967,0.12641509433962264,3803.3742424242423,0.7561689838648212,0.5025296981443043
native_20260929/generated_validation_20261011,4,99,99,0,0.14224137931034483,0.0,4479.419595959595,0.5650509050342215,
native_20260929/generated_validation_20261012,0,184,121,100,0.1816816816816817,0.09433962264150944,219.3310743801653,1.0270006823277122,1.4008750281047724
native_20260929/generated_validation_20261012,1,224,32,399,0.04804804804804805,0.37641509433962267,1694.5940625,1.0915011008334736,1.2569863977453273
native_20260929/generated_validation_20261012,2,225,225,427,0.33783783783783783,0.4028301886792453,4398.178711111111,1.4404154315440663,0.7348812456527771
native_20260929/generated_validation_20261012,3,183,183,134,0.2747747747747748,0.12641509433962264,3512.4501639344257,0.27858844720072046,0.6604442117952876
native_20260929/generated_validation_20261012,4,105,105,0,0.15765765765765766,0.0,4474.499523809523,0.9454324482077607,
numeric_digit_relaxed_20260928/generated_validation_20261011,0,143,91,100,0.11234567901234568,0.09433962264150944,157.08483516483517,1.5132147175678008,1.093053356548953
numeric_digit_relaxed_20260928/generated_validation_20261011,1,171,49,399,0.06049382716049383,0.37641509433962267,356.9540816326531,1.1964425608424836,0.9559590689749411
numeric_digit_relaxed_20260928/generated_validation_20261011,2,151,151,427,0.18641975308641975,0.4028301886792453,412.2231125827815,0.9890266680502231,1.022192268452301
numeric_digit_relaxed_20260928/generated_validation_20261011,3,192,192,134,0.23703703703703705,0.12641509433962264,413.10640624999996,0.9005982286135839,0.5634006876976841
numeric_digit_relaxed_20260928/generated_validation_20261011,4,327,327,0,0.40370370370370373,0.0,491.97568807339445,0.9575802967017139,
numeric_digit_relaxed_20260928/generated_validation_20261012,0,135,79,100,0.12135176651305683,0.09433962264150944,160.9560759493671,1.356824512534819,1.0724924623639067
numeric_digit_relaxed_20260928/generated_validation_20261012,1,164,31,399,0.047619047619047616,0.37641509433962267,397.86709677419356,3.256662728108179,0.7148666982069356
numeric_digit_relaxed_20260928/generated_validation_20261012,2,133,133,427,0.20430107526881722,0.4028301886792453,350.3347368421053,0.9889456748059816,0.9842815692486623
numeric_digit_relaxed_20260928/generated_validation_20261012,3,136,136,134,0.20890937019969277,0.12641509433962264,456.04088235294114,1.0235922812279077,0.43296356919293
numeric_digit_relaxed_20260928/generated_validation_20261012,4,272,272,0,0.41781874039938555,0.0,437.3930514705882,0.9006596834447882,
numeric_digit_relaxed_20260929/generated_validation_20261011,0,105,69,100,0.02020497803806735,0.09433962264150944,131.8265217391304,1.5213362912697377,1.1673179940984748
numeric_digit_relaxed_20260929/generated_validation_20261011,1,176,72,399,0.021083455344070277,0.37641509433962267,417.0993055555555,2.58968947325746,0.5200348373351138
numeric_digit_relaxed_20260929/generated_validation_20261011,2,189,189,427,0.05534407027818448,0.4028301886792453,534.0619047619047,2.1874151910374446,0.604166816804016
numeric_digit_relaxed_20260929/generated_validation_20261011,3,259,259,134,0.07584187408491948,0.12641509433962264,493.2942084942085,1.1143874712202608,0.41827499356266085
numeric_digit_relaxed_20260929/generated_validation_20261011,4,2826,2826,0,0.8275256222547585,0.0,566.4607997169145,0.9952927176914108,
numeric_digit_relaxed_20260929/generated_validation_20261012,0,137,94,100,0.017665852283405375,0.09433962264150944,179.8405319148936,2.408648889238816,0.8835303943132109
