run,events,runs,runs_start_at_customer_boundary,runs_end_at_customer_boundary,events_after_twentieth_fraud,event_share_after_twentieth_fraud,mean_length,p90_length,max_length,standardization_real_band_coverage,ratio_log_w1,age_standardized_ratio_log_w1
real_train,5214,533,52,56,0,0.0,9.782363977485929,14.0,19,1.0000000000000002,0.03741882932366558,0.03465203236231493
real_validation,1115,111,11,12,0,0.0,10.045045045045045,14.0,19,1.0000000000000002,0.0,2.7344141756673874e-14
digit_relaxed_20260928/generated_validation_20261011,1451,241,56,9,400,0.27567195037904896,6.020746887966805,16.0,81,1.0000000000000002,0.8943734755886056,0.9226755150502857
digit_relaxed_20260928/generated_validation_20261012,1733,222,53,13,587,0.3387189844200808,7.806306306306307,24.900000000000006,85,1.0000000000000002,0.8465954526173473,0.8402122483235785
digit_relaxed_20260929/generated_validation_20261011,1819,129,44,8,918,0.5046728971962616,14.10077519379845,35.60000000000001,189,1.0000000000000002,0.7627293369998814,0.7525149125510121
digit_relaxed_20260929/generated_validation_20261012,1341,116,37,11,524,0.3907531692766592,11.560344827586206,27.0,123,1.0000000000000002,0.7478786284329344,0.7806360298179029
native_20260928/generated_validation_20261011,1288,275,67,7,230,0.17857142857142858,4.683636363636364,11.0,81,1.0000000000000002,0.9753737877185318,0.9648621150004566
native_20260928/generated_validation_20261012,1056,249,65,15,100,0.0946969696969697,4.240963855421687,12.0,79,1.0000000000000002,0.9883571081857778,0.9397867351179799
native_20260929/generated_validation_20261011,920,211,53,7,99,0.10760869565217392,4.360189573459715,14.0,56,1.0000000000000002,0.8871930650221964,0.7752902716478816
native_20260929/generated_validation_20261012,921,184,56,15,105,0.11400651465798045,5.005434782608695,14.700000000000017,48,1.0000000000000002,0.9241702091689261,0.9533895416158653
numeric_digit_relaxed_20260928/generated_validation_20261011,984,143,43,15,327,0.3323170731707317,6.881118881118881,18.0,101,1.0000000000000002,1.0862431281170033,0.9434143838564383
numeric_digit_relaxed_20260928/generated_validation_20261012,840,135,49,12,272,0.3238095238095238,6.222222222222222,13.0,170,1.0000000000000002,1.0513559354407478,0.8203847372924855
numeric_digit_relaxed_20260929/generated_validation_20261011,3555,105,32,9,2826,0.7949367088607595,33.857142857142854,32.00000000000004,2447,1.0000000000000002,1.1434123554555453,0.5966528796155557
numeric_digit_relaxed_20260929/generated_validation_20261012,5498,137,38,10,4413,0.8026555110949436,40.13138686131387,40.0,3008,1.0000000000000002,1.15675379977965,0.5915848982712905
order_category_digit_relaxed_20260928/generated_validation_20261011,2228,246,61,8,762,0.34201077199281865,9.05691056910569,27.5,110,1.0000000000000002,0.7878425017469832,0.7350172995105267
order_category_digit_relaxed_20260928/generated_validation_20261012,1915,234,60,14,529,0.2762402088772846,8.183760683760683,27.0,86,1.0000000000000002,0.788207799724838,0.7809929049237357
order_category_digit_relaxed_20260929/generated_validation_20261011,1706,126,52,8,720,0.4220398593200469,13.53968253968254,35.5,160,1.0000000000000002,0.6715480334294858,0.6814213011950956
order_category_digit_relaxed_20260929/generated_validation_20261012,1593,120,40,6,638,0.4005021971123666,13.275,27.70000000000006,147,1.0000000000000002,0.73688208805718,0.7132511021364113
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,1639,122,46,14,910,0.5552165954850519,13.434426229508198,31.700000000000017,172,1.0000000000000002,1.152990453799542,0.9368700364026699
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,2830,139,51,13,1927,0.6809187279151944,20.359712230215827,64.0,234,1.0000000000000002,1.2039348486468302,1.034839981544789
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,4687,115,41,9,3857,0.8229144442073821,40.756521739130434,53.60000000000001,2576,1.0000000000000002,1.221783181307117,0.7116889946108648
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,8300,150,47,11,7009,0.8444578313253012,55.333333333333336,58.19999999999999,2677,1.0000000000000002,1.1994547678848213,0.6443508435086017
order_category_relaxed_20260928/generated_validation_20261011,1367,257,68,12,301,0.22019019751280175,5.319066147859922,12.0,81,1.0000000000000002,0.9179208995679664,0.7897213131344799
order_category_relaxed_20260928/generated_validation_20261012,1065,248,62,12,135,0.1267605633802817,4.294354838709677,11.300000000000011,80,1.0000000000000002,0.9206264680248808,0.8361531534519759
order_category_relaxed_20260929/generated_validation_20261011,1446,168,43,7,388,0.26832641770401106,8.607142857142858,21.0,144,1.0000000000000002,0.751655814507169,0.7107419050606201
order_category_relaxed_20260929/generated_validation_20261012,1154,153,41,13,167,0.14471403812824957,7.542483660130719,22.600000000000023,48,1.0000000000000002,0.7006248080157247,0.7198255841822391
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,613,168,27,10,132,0.21533442088091354,3.6488095238095237,8.0,136,1.0000000000000002,0.9688483123008483,0.7468756771155883
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,459,151,27,10,37,0.08061002178649238,3.0397350993377485,8.0,44,1.0000000000000002,0.9077677553175367,0.790711614755322
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,758,126,25,8,243,0.32058047493403696,6.015873015873016,14.0,107,1.0000000000000002,0.8922366670382289,0.8932366142659319
order_event_is_fraud_relaxed_20260929/generated_validation_20261012,716,108,25,13,134,0.1871508379888268,6.62962962962963,19.0,58,1.0000000000000002,0.8656943767739353,0.728997691614006
relaxed_20260928/generated_validation_20261011,989,263,64,7,175,0.1769464105156724,3.7604562737642584,9.0,131,1.0000000000000002,0.9495058927214968,0.8444006589907586
relaxed_20260928/generated_validation_20261012,854,258,59,12,63,0.07377049180327869,3.310077519379845,9.0,58,1.0000000000000002,0.897284273310067,0.8433262613195274
relaxed_20260929/generated_validation_20261011,1200,163,36,7,355,0.29583333333333334,7.361963190184049,19.80000000000001,115,1.0000000000000002,0.8137899350601856,0.6420155938425498
relaxed_20260929/generated_validation_20261012,1043,147,41,14,150,0.14381591562799617,7.095238095238095,20.0,67,1.0000000000000002,0.7901918475444263,0.7896574426674516
row_resampling/generated_validation_20261011,1134,1125,13,0,0,0.0,1.008,1.0,2,0.47075471698113214,0.29382001006975655,
row_resampling/generated_validation_20261012,1061,1054,10,0,0,0.0,1.0066413662239089,1.0,2,0.47075471698113214,0.2416993599492536,
transition_resampling/generated_validation_20261011,935,101,14,3,28,0.029946524064171122,9.257425742574258,18.0,27,1.0000000000000002,0.21221281058985159,0.09889838344777438
transition_resampling/generated_validation_20261012,1020,105,10,1,99,0.09705882352941177,9.714285714285714,19.60000000000001,42,1.0000000000000002,0.18946847112741555,0.10176178590725496
cpar_20260928/generated_supported_validation_20261011,248,241,24,5,0,0.0,1.0290456431535269,1.0,3,0.47075471698113214,1.1958534240810526,
cpar_20260928/generated_supported_validation_20261012,252,247,26,5,0,0.0,1.0202429149797572,1.0,2,0.47075471698113214,1.2001734282711265,
