run,customers,events,minimum,p10,median,p90,maximum,customer_weighted_fraud_rate,all_fraud_customers,customers_with_any_fraud,short_customers_le_100,training_length_gap_low_exclusive,training_length_gap_high_exclusive,customers_in_training_length_gap
real_train,688,916567,7,496.0,1267.5,2553.0,3123,0.08208396640154747,52,533,52,15,471,0
real_validation,143,174879,7,500.2,1042.0,2090.6,3119,0.08466774472129494,11,111,11,15,471,1
codec_roundtrip,143,174879,7,500.2,1042.0,2090.6,3119,0.08466774472129494,11,111,11,15,471,1
cpar_20260928/generated_supported_validation_20261011,143,17883,8,18.0,82.0,308.4,577,0.018160790759129422,0,96,86,15,471,129
cpar_20260928/generated_supported_validation_20261012,143,17486,7,15.200000000000001,82.0,293.79999999999995,612,0.024344063166213306,0,103,80,15,471,125
digit_relaxed_20260928/generated_validation_20261011,143,188548,7,429.20000000000005,1073.0,2545.6,3106,0.07600134187226312,9,106,13,15,471,11
digit_relaxed_20260928/generated_validation_20261012,143,185803,7,61.20000000000003,1056.0,2546.2,3106,0.10297196245994998,10,108,17,15,471,11
digit_relaxed_20260929/generated_validation_20261011,143,192805,7,479.0,1500.0,2550.0,3106,0.07135828943683616,8,85,9,15,471,10
digit_relaxed_20260929/generated_validation_20261012,143,176545,7,487.8,1045.0,2514.2,3106,0.08986517497109174,10,82,13,15,471,8
native_20260928/generated_validation_20261011,143,183811,7,31.0,1045.0,2546.4,3106,0.06896413014351695,6,109,19,15,471,9
native_20260928/generated_validation_20261012,143,174074,7,20.400000000000013,1045.0,2518.0,3106,0.11825460950414864,14,121,20,15,471,9
native_20260929/generated_validation_20261011,143,213168,7,503.2,1512.0,2577.4,3106,0.05776368947440223,6,105,11,15,471,6
native_20260929/generated_validation_20261012,143,175950,7,19.800000000000004,1060.0,2517.8,3087,0.11396011374665012,14,103,21,15,471,9
numeric_digit_relaxed_20260928/generated_validation_20261011,143,162958,7,44.400000000000006,1032.0,2351.7999999999993,3106,0.10557134801447064,9,82,19,15,471,13
numeric_digit_relaxed_20260928/generated_validation_20261012,143,168935,7,424.6,1038.0,2484.4,3106,0.08812165568736775,11,84,14,15,471,8
numeric_digit_relaxed_20260929/generated_validation_20261011,143,195098,7,437.00000000000006,1512.0,2541.0,3106,0.06438685806789957,7,73,12,15,471,8
numeric_digit_relaxed_20260929/generated_validation_20261012,143,197386,7,502.2,1048.0,2582.2,3106,0.08123398026458421,9,76,11,15,471,1
order_category_digit_relaxed_20260928/generated_validation_20261011,143,188548,7,429.20000000000005,1073.0,2545.6,3106,0.07446372261139966,8,107,13,15,471,11
order_category_digit_relaxed_20260928/generated_validation_20261012,143,185803,7,61.20000000000003,1056.0,2546.2,3106,0.09529194779945448,12,114,17,15,471,11
order_category_digit_relaxed_20260929/generated_validation_20261011,143,192805,7,479.0,1500.0,2550.0,3106,0.06680218823738263,8,87,9,15,471,10
order_category_digit_relaxed_20260929/generated_validation_20261012,143,176545,7,487.8,1045.0,2514.2,3106,0.05207462181137218,5,77,13,15,471,8
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,143,162958,7,44.400000000000006,1032.0,2351.7999999999993,3106,0.10741615687221746,12,74,19,15,471,13
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,143,168935,7,424.6,1038.0,2484.4,3106,0.10551021194476487,12,83,14,15,471,8
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,143,195098,7,437.00000000000006,1512.0,2541.0,3106,0.08139318527810462,7,77,12,15,471,8
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,143,197386,7,502.2,1048.0,2582.2,3106,0.09974895139781273,10,84,11,15,471,1
order_category_relaxed_20260928/generated_validation_20261011,143,187743,7,58.00000000000006,1044.0,2548.0,3106,0.09441931023850245,10,118,16,15,471,8
order_category_relaxed_20260928/generated_validation_20261012,143,182858,7,255.80000000000032,1071.0,2533.0,3088,0.09211858579804133,10,118,14,15,471,6
order_category_relaxed_20260929/generated_validation_20261011,143,209394,7,502.2,1527.0,2568.4,3106,0.06280227109204839,6,93,11,15,471,8
order_category_relaxed_20260929/generated_validation_20261012,143,190828,7,77.60000000000016,1498.0,2545.8,3106,0.09762037010178228,13,95,15,15,471,8
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,143,187743,7,58.00000000000006,1044.0,2548.0,3106,0.06893529700730294,5,91,16,15,471,8
order_event_is_fraud_relaxed_20260928/generated_validation_20261012,143,182858,7,255.80000000000032,1071.0,2533.0,3088,0.07307173731288183,6,92,14,15,471,6
order_event_is_fraud_relaxed_20260929/generated_validation_20261011,143,209394,7,502.2,1527.0,2568.4,3106,0.06478437801549211,7,80,11,15,471,8
order_event_is_fraud_relaxed_20260929/generated_validation_20261012,143,190828,7,77.60000000000016,1498.0,2545.8,3106,0.09379195360242563,11,74,15,15,471,8
relaxed_20260928/generated_validation_20261011,143,187743,7,58.00000000000006,1044.0,2548.0,3106,0.0644275338527135,7,107,16,15,471,8
relaxed_20260928/generated_validation_20261012,143,182858,7,255.80000000000032,1071.0,2533.0,3088,0.09228804319446485,12,118,14,15,471,6
relaxed_20260929/generated_validation_20261011,143,209394,7,502.2,1527.0,2568.4,3106,0.05952956747383719,6,89,11,15,471,8
relaxed_20260929/generated_validation_20261012,143,190828,7,77.60000000000016,1498.0,2545.8,3106,0.10431832113791087,14,88,15,15,471,8
row_resampling/generated_validation_20261011,143,187294,8,504.4,1046.0,2520.6,3106,0.005693301872983059,0,133,9,15,471,0
row_resampling/generated_validation_20261012,143,188215,9,501.0,1466.0,2523.8,3101,0.006029157753154291,0,133,10,15,471,0
transition_resampling/generated_validation_20261011,143,186973,7,12.0,1050.0,2570.0,3112,0.01676732557775696,1,71,17,15,471,0
transition_resampling/generated_validation_20261012,143,190689,7,499.4,1510.0,2528.6,3123,0.004770608603584885,0,72,11,15,471,0
