run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
real_train,0,143,688,143,688,0.7126768580256952,0.0,0.0,11,0.07692307692307693,52,0.0755813953488372
real_train,1,4204,20171,143,688,0.17465894952108096,0.0,0.0,135,0.032112274024738346,651,0.03227405681423826
real_train,2,8976,43248,132,636,0.12151271314700837,0.0,0.0,81,0.009024064171122994,478,0.011052534221235664
real_train,3,52770,254200,132,636,0.05429230839650178,0.0,0.0,458,0.00867917377297707,1732,0.006813532651455547
real_train,4,108786,598260,128,614,0.04089156671752896,0.0,0.0,430,0.003952714503704521,2301,0.0038461538461538464
real_validation,0,143,143,143,143,0.0,0.0,0.0,11,0.07692307692307693,11,0.07692307692307693
real_validation,1,4204,4204,143,143,0.0,0.0,0.0,135,0.032112274024738346,135,0.032112274024738346
real_validation,2,8976,8976,132,132,0.0,0.0,0.0,81,0.009024064171122994,81,0.009024064171122994
real_validation,3,52770,52770,132,132,0.0,0.0,0.0,458,0.00867917377297707,458,0.00867917377297707
real_validation,4,108786,108786,128,128,0.0,0.0,0.0,430,0.003952714503704521,430,0.003952714503704521
codec_roundtrip,0,143,143,143,143,0.0,0.0,0.0,11,0.07692307692307693,11,0.07692307692307693
codec_roundtrip,1,4204,4204,143,143,0.0,0.0,0.0,135,0.032112274024738346,135,0.032112274024738346
codec_roundtrip,2,8976,8976,132,132,0.0,0.0,0.0,81,0.009024064171122994,81,0.009024064171122994
codec_roundtrip,3,52770,52770,132,132,0.0,0.0,0.0,458,0.00867917377297707,458,0.00867917377297707
codec_roundtrip,4,108786,108786,128,128,0.0,0.0,0.0,430,0.003952714503704521,430,0.003952714503704521
cpar_20260928/generated_supported_validation_20261011,0,143,143,143,143,0.986013986013986,0.0,0.9090909090909091,11,0.07692307692307693,24,0.16783216783216784
cpar_20260928/generated_supported_validation_20261011,1,4204,3990,143,143,0.9222082322838496,0.0,0.9215538847117795,135,0.032112274024738346,70,0.017543859649122806
cpar_20260928/generated_supported_validation_20261011,2,8976,5741,132,110,0.9217906288103118,0.0,0.9217906288103118,81,0.009024064171122994,60,0.010451140916216687
cpar_20260928/generated_supported_validation_20261011,3,52770,7932,132,57,0.9190620272314675,0.0,0.9190620272314675,458,0.00867917377297707,92,0.011598587997982855
cpar_20260928/generated_supported_validation_20261011,4,108786,77,128,1,0.9906054087842185,0.0,0.935064935064935,430,0.003952714503704521,2,0.025974025974025976
cpar_20260928/generated_supported_validation_20261012,0,143,143,143,143,0.986013986013986,0.0,0.9230769230769231,11,0.07692307692307693,26,0.18181818181818182
cpar_20260928/generated_supported_validation_20261012,1,4204,3899,143,143,0.9232432673824729,0.0,0.9230571941523468,135,0.032112274024738346,63,0.01615798922800718
cpar_20260928/generated_supported_validation_20261012,2,8976,5601,132,106,0.9185859667916444,0.0,0.9184074272451348,81,0.009024064171122994,65,0.011605070523120872
cpar_20260928/generated_supported_validation_20261012,3,52770,7556,132,63,0.9216516675489678,0.0,0.9216516675489677,458,0.00867917377297707,96,0.01270513499205929
cpar_20260928/generated_supported_validation_20261012,4,108786,287,128,3,0.9681576673469012,0.0,0.9198606271777003,430,0.003952714503704521,2,0.006968641114982578
digit_relaxed_20260928/generated_validation_20261011,0,143,143,143,143,0.916083916083916,0.0,0.7762237762237763,11,0.07692307692307693,56,0.3916083916083916
digit_relaxed_20260928/generated_validation_20261011,1,4204,4301,143,143,0.8475596253476776,0.0,0.8437572657521507,135,0.032112274024738346,621,0.1443850267379679
digit_relaxed_20260928/generated_validation_20261011,2,8976,8935,132,136,0.8493743559895341,0.0,0.8489087856743145,81,0.009024064171122994,238,0.02663682148852826
digit_relaxed_20260928/generated_validation_20261011,3,52770,51747,132,130,0.8551413608518367,0.0,0.8551413608518368,458,0.00867917377297707,148,0.0028600691827545557
digit_relaxed_20260928/generated_validation_20261011,4,108786,123422,128,124,0.8542804362269287,0.0,0.8542804362269287,430,0.003952714503704521,388,0.0031436858906839947
digit_relaxed_20260928/generated_validation_20261012,0,143,143,143,143,0.9230769230769231,0.0,0.7902097902097902,11,0.07692307692307693,53,0.3706293706293706
digit_relaxed_20260928/generated_validation_20261012,1,4204,4252,143,143,0.8446849436947119,0.0,0.8388993414863594,135,0.032112274024738346,726,0.17074317968015051
digit_relaxed_20260928/generated_validation_20261012,2,8976,8762,132,134,0.8521457051414287,0.0,0.8520885642547363,81,0.009024064171122994,308,0.03515179182834969
digit_relaxed_20260928/generated_validation_20261012,3,52770,50327,132,126,0.8542531841754921,0.0,0.8542531841754922,458,0.00867917377297707,140,0.002781806982335526
digit_relaxed_20260928/generated_validation_20261012,4,108786,122319,128,124,0.853734906269672,0.0,0.853734906269672,430,0.003952714503704521,506,0.004136724466354369
digit_relaxed_20260929/generated_validation_20261011,0,143,143,143,143,0.8741258741258742,0.0,0.6153846153846154,11,0.07692307692307693,44,0.3076923076923077
digit_relaxed_20260929/generated_validation_20261011,1,4204,4313,143,143,0.6706416421223822,0.0,0.6429399489914213,135,0.032112274024738346,799,0.18525388360769765
digit_relaxed_20260929/generated_validation_20261011,2,8976,9147,132,136,0.6668831617742061,0.0,0.660107138952662,81,0.009024064171122994,486,0.05313217448343719
digit_relaxed_20260929/generated_validation_20261011,3,52770,53039,132,134,0.6599080696920177,0.0,0.6581006429231321,458,0.00867917377297707,306,0.0057693395426007274
digit_relaxed_20260929/generated_validation_20261011,4,108786,126163,128,127,0.6578662876758119,0.0,0.6560639807233499,430,0.003952714503704521,184,0.0014584307602070338
digit_relaxed_20260929/generated_validation_20261012,0,143,143,143,143,0.8461538461538461,0.0,0.5664335664335665,11,0.07692307692307693,37,0.25874125874125875
digit_relaxed_20260929/generated_validation_20261012,1,4204,4268,143,143,0.6751973173226374,0.0,0.6415182755388941,135,0.032112274024738346,699,0.16377694470477977
digit_relaxed_20260929/generated_validation_20261012,2,8976,8947,132,134,0.6677056879022375,0.0,0.6591036101486532,81,0.009024064171122994,387,0.043254722253269255
digit_relaxed_20260929/generated_validation_20261012,3,52770,51901,132,130,0.6582099583865038,0.0,0.6558447814107627,458,0.00867917377297707,121,0.0023313616307970944
digit_relaxed_20260929/generated_validation_20261012,4,108786,111286,128,124,0.6585973368503162,0.0,0.6569289937638157,430,0.003952714503704521,97,0.0008716280574375933
