run,real_events,generated_events,real_customers,generated_customers,invalid_amount_rate,invalid_gap_rate,merchant_category_tv,category_amount_tv,gap_previous_category_category_tv,history_amount_tv,category_tv,merchant_tv,amount_tv,gap_tv,real_fraud_rate,generated_fraud_rate,real_frauds,generated_frauds,invalid_generated_label_rate,label_tv,history_amount_label_tv,class_0_category_amount_tv,class_0_gap_previous_category_category_tv,class_0_history_amount_tv,class_1_category_amount_tv,class_1_gap_previous_category_category_tv,class_1_history_amount_tv,class_0_merchant_tv,class_0_merchant_category_tv,class_0_gap_category_amount_history_tv,class_1_merchant_tv,class_1_merchant_category_tv,class_1_gap_category_amount_history_tv,previous_current_fraud_tv,fraud_previous_category_current_category_tv,fraud_onset_events,real_fraud_onset_events,fraud_onset_category_amount_tv,fraud_onset_history_amount_tv,fraud_continuation_events,real_fraud_continuation_events,fraud_continuation_category_amount_tv,fraud_continuation_history_amount_tv,previous_fraud_fraud_rate,previous_normal_fraud_rate,positive_gap_le_5s_fraud_rate,positive_gap_le_300s_fraud_rate,short_sequence_le_100_RETROSPECTIVE_fraud_rate,fraud_amount_generated_mean,fraud_amount_ks_distance,fraud_amount_wasserstein_log1p,fraud_gap_seconds_generated_mean,fraud_gap_seconds_ks_distance,fraud_gap_seconds_wasserstein_log1p,fraud_amount_history_ratio_generated_mean,fraud_amount_history_ratio_ks_distance,fraud_amount_history_ratio_wasserstein_log1p,model
native_20260928/generated_validation_20261011,174879,183811,143,143,0.0,0.0,0.730332503554042,0.2017581274847907,0.126255341016464,0.047570107618158,0.0465921360155094,0.0965212853125041,0.0257111858796983,0.0253060008984931,0.0063758370073021,0.0070071976105891,1115,1288,0.0,0.0006313606032869,0.0504744018205979,0.2019329019182806,0.1263092476276722,0.0477850667601742,0.4948879215183563,0.4262231599188121,0.4255554962076701,0.0964655194308916,0.7307290553655277,0.2452554116956254,0.4647042029913935,0.7526244324986768,0.6661881743403484,0.0014527718184459,0.2527285190328668,208,100,0.8453846153846154,0.6805769230769229,1013,1004,0.4313476597066817,0.3994318874551153,0.7907884465261514,0.0011404321579937,0.0,0.0248366013071895,0.2563451776649746,2709.030217391304,0.3183229813664596,1.4634268390809304,32436.180999181,0.1524075953423779,0.4751952710001013,34.16315736280375,0.4039118647768417,0.9753737877185318,"ARGN AUTO, native cap"
native_20260928/generated_validation_20261012,174879,174074,143,143,0.0,0.0,0.7336469666368658,0.2021591246199908,0.127280639791488,0.0417472496721253,0.047111184626396,0.0974552928836854,0.0246282393028757,0.0151925008676926,0.0063758370073021,0.006066385560164,1115,1056,0.0,0.0003094514471381,0.0435000391729658,0.2022724120872518,0.1271991365443341,0.0406271962228558,0.4681344052998727,0.4423251290600915,0.4579540136591643,0.097589665889518,0.7340830959660664,0.2449693973588994,0.4734814512841419,0.7507320967522759,0.7081761213237983,0.0012643909540719,0.2712099109375686,184,100,0.825,0.6497826086956522,807,1004,0.4271365590920086,0.4524294396145282,0.7752161383285303,0.0010642605124645,0.0175438596491228,0.0127614321162708,0.6061452513966481,2770.9055492424245,0.3314895026498166,1.4470623164988634,28284.155398587285,0.1716362114099358,0.5459194578450632,27.21986967095569,0.4290419444838511,0.9883571081857778,"ARGN AUTO, native cap"
native_20260929/generated_validation_20261011,174879,213168,143,143,0.0,0.0,0.7791963158541947,0.1858194129933226,0.1262945340629598,0.0545480969793687,0.0426801267547116,0.1133186125267101,0.0428035924743534,0.0278751632546472,0.0063758370073021,0.0043158447797042,1115,920,0.0,0.0020599922275979,0.0580736999922817,0.1855362529131987,0.1264142883250845,0.0553219977026176,0.5011565367835115,0.4401954515821673,0.4602671631312371,0.113489987786217,0.7795419604673574,0.2356752791940314,0.4924644180152077,0.775233963735621,0.7289033900005015,0.002417562964952,0.2689559199638934,158,100,0.8470886075949368,0.6854430379746836,709,1004,0.4416270039728251,0.4845175012221916,0.7765607886089814,0.0007448894923436,0.0,0.012481426448737,0.4029304029304029,3050.4972173913043,0.3523640085786703,1.3121263374363497,24516.7693194925,0.1061004964645704,0.3007394594599685,22.747282877715065,0.4163738885274344,0.8871930650221964,"ARGN AUTO, native cap"
native_20260929/generated_validation_20261012,174879,175950,143,143,0.0,0.0,0.7792100028417165,0.184006173709673,0.1258103213339617,0.0341150465029609,0.0452253272262535,0.1100464395630569,0.0339414954489029,0.0171566627694049,0.0063758370073021,0.005234441602728,1115,921,0.0,0.0011413954045741,0.037500791230309,0.1838637395500461,0.1258896484302861,0.0344881156188617,0.4671829186562789,0.4426750858674709,0.4820306609700929,0.1100249222180841,0.7796822240885796,0.2295888696793208,0.4691303564559871,0.7613716812004889,0.7270356873586328,0.0015537138077074,0.2812054955181369,128,100,0.87625,0.7206250000000001,737,1004,0.4175347456848319,0.5026353203198064,0.8134657836644592,0.0007318425852339,0.0,0.0121580547112462,0.6009852216748769,3210.534462540717,0.3756786102062974,1.400026848478198,25937.805780346825,0.1089867638435118,0.305825282965857,14.936176718724038,0.4241090146750524,0.924170209168926,"ARGN AUTO, native cap"
relaxed_20260928/generated_validation_20261011,174879,187743,143,143,0.0,0.0,0.6483987720298348,0.1843910540225825,0.1249857417557261,0.0339059741310638,0.0489951840500359,0.0927517308561762,0.0479286558639411,0.0174586968749591,0.0063758370073021,0.0052678395466142,1115,989,0.0,0.0011079974606879,0.0372714204369876,0.1843204981510734,0.1248161536328095,0.0348404600527367,0.4985242851547199,0.4576968272620446,0.4436427732079906,0.0926273453599807,0.6486111019421079,0.2322174634061328,0.4877699537966964,0.7313452461380114,0.7294643556600078,0.0018758747890695,0.2785575793184488,199,100,0.8193467336683417,0.6894472361809045,726,1004,0.4309127127852228,0.4104326495670212,0.7393075356415478,0.0010663494411042,0.0,0.0247279920870425,0.2576177285318559,2534.1615571284124,0.3003033367037411,1.4836658255418866,26621.495135135134,0.1264708186447317,0.3500721938652992,29.282657908919425,0.4125904193434165,0.9495058927214968,"ARGN AUTO, cap relaxed"
relaxed_20260928/generated_validation_20261012,174879,182858,143,143,0.0,0.0,0.6515197593329533,0.1825376418748747,0.124234850267387,0.023876601120021,0.0485562675843497,0.0914000473689428,0.0440938949503231,0.0116000702046495,0.0063758370073021,0.0046702906080127,1115,854,0.0,0.0017055463992893,0.026969918250467,0.1825249829317845,0.1239208780826931,0.0245133025910945,0.4998188405797101,0.4775909215203719,0.4444387476073284,0.091367669903705,0.6518169842681087,0.2299396690046718,0.4815534388422722,0.7163094275422439,0.6975492206726825,0.0024839001973466,0.2949822258681979,199,100,0.8193969849246231,0.644070351758794,596,1004,0.4208869221102169,0.4481269552661836,0.7078384798099763,0.0010941701077125,0.0,0.0146305779078273,0.6694214876033058,2318.4170843091333,0.3160731351277554,1.4769395208208302,28969.99245283019,0.1910240634399782,0.5486085006438721,36.77133369242311,0.3766440740062283,0.897284273310067,"ARGN AUTO, cap relaxed"
relaxed_20260929/generated_validation_20261011,174879,209394,143,143,0.0,0.0,0.4113951045028711,0.165080029715596,0.130202557586266,0.0594540349908388,0.052243802488328,0.0909275988513711,0.0714904340777221,0.0350072094554015,0.0063758370073021,0.0057308232327573,1115,1200,0.0,0.0006450137745447,0.0633962312098721,0.1658500116509009,0.1306742146466138,0.061242946234268,0.4298053936949051,0.4138278798744957,0.4051994621246078,0.0909130426373911,0.411656635688157,0.2280838402029102,0.4789275037369208,0.6039461883408072,0.683456596444046,0.0007900400024956,0.2795271178843568,127,100,0.8718897637795275,0.688267716535433,1037,1004,0.3905621487050832,0.3885336186594029,0.8692372170997485,0.0006104067135125,0.0,0.0214418893722809,0.7482517482517482,3238.155266666667,0.3824999999999999,1.0787614765184013,23992.13402061856,0.0747982967279247,0.1868655074850782,11.473402988145768,0.3953125,0.8137899350601856,"ARGN AUTO, cap relaxed"
relaxed_20260929/generated_validation_20261012,174879,190828,143,143,0.0,0.0,0.4101248106142119,0.1636074709090758,0.1285656760214441,0.0430867971830211,0.054868486974943,0.0878919950857833,0.0640377500962368,0.0212201352997547,0.0063758370073021,0.0054656549353344,1115,1043,0.0,0.0009101820719677,0.0469272491010323,0.1642524485094079,0.1289453315770233,0.0447190129449471,0.4117471578581966,0.4468454395556712,0.3982144406838497,0.0877734009560274,0.4102975852961625,0.2190352730825105,0.4604491184019881,0.5909892557257652,0.6708810639590385,0.0010633632460124,0.3073147183893083,106,100,0.8273584905660378,0.6413207547169811,896,1004,0.4010653813318156,0.3927993383608424,0.8707482993197279,0.0005589066520437,0.0,0.0221270521056388,0.836,3502.02966442953,0.4047878446530145,1.0896304311451033,25653.72754491018,0.0663564175995835,0.1703732250509796,15.93260603612973,0.3688510580880204,0.7901918475444263,"ARGN AUTO, cap relaxed"
order_category_relaxed_20260928/generated_validation_20261011,174879,187743,143,143,0.0,0.0,0.1762616523304612,0.1166408318807754,0.1240730506102266,0.03458878799032,0.0486392157164825,0.1041356091353323,0.048626500466651,0.0194469697960678,0.0063758370073021,0.0072812301923373,1115,1367,0.0,0.0009053931850352,0.0391789105779479,0.1170647297148503,0.1246522316910951,0.0363164064581979,0.3584153362118017,0.4387153998058707,0.4343202965491849,0.1045532401273901,0.1764747136332064,0.1638269932603527,0.4628714641403223,0.5155959992258259,0.6899768216353718,0.0013456054521433,0.2891312715466747,189,100,0.7606878306878306,0.6189417989417989,1110,1004,0.3168461289975234,0.4354402210975916,0.8191881918819188,0.0010147923434186,0.0188679245283018,0.0316395014381591,0.3767313019390582,3633.328771031456,0.4133138258961228,1.1902953087762445,23618.52040030793,0.1063987348127322,0.2675084677143862,15.92842682829211,0.4152172005265467,0.9179208995679664,ARGN AUTO + category first
order_category_relaxed_20260928/generated_validation_20261012,174879,182858,143,143,0.0,0.0,0.1763189426247836,0.119523150500068,0.1240893676270155,0.02048389063289,0.0490647786139071,0.1039903117551529,0.0488477473814426,0.0119010854469668,0.0063758370073021,0.0058241914491025,1115,1065,0.0,0.0005516455581995,0.0246477096431636,0.1199296748497584,0.124237135486018,0.0220089679626864,0.410531990983571,0.4503690016905805,0.4356089340673632,0.1043784413103025,0.1765359398457713,0.1647294687808701,0.4707678056380134,0.5173624707888587,0.6918835883653387,0.0012743662236717,0.2724959180429726,186,100,0.8324731182795698,0.5918279569892473,817,1004,0.3307467803205781,0.4491020008094915,0.7758784425451092,0.0010238795125012,0.0,0.0148712368516503,0.6900826446280992,3102.49661971831,0.3708920187793427,1.2426872813761642,27227.35593220339,0.1447974915832213,0.4331051006165866,15.60063319078232,0.4060827935792734,0.9206264680248808,ARGN AUTO + category first
